celltype,time,l2_distance,mahalanobis_to_bootstrap_mean,scaled_euclid_to_bootstrap_mean,mahalanobis_bootstrap_percentile,scaled_euclid_bootstrap_percentile,mean_gex_corr,rss,varexpl,mean_rel_l2_distance,seed,coreset_fraction,n_samples,n_dimensions,n_archetypes
MG,5.915484189987183,0.39798060059547424,1.4777013742096081,1.3693281809488933,3.0,15.833333333333334,0.9992227686030004,115890.0859375,0.6852994561195374,0.029647444791757526,383329927,1.0,9239,10,6
MG,3.514582395553589,0.5819980502128601,1.3014372883708958,1.3436534404754639,1.3333333333333333,17.666666666666668,0.9977813662238791,116323.859375,0.6841215491294861,0.04335576823780837,3324115916,1.0,9239,10,6
MG,3.298884630203247,1.0986857414245605,2.1415352236925576,2.182058314482371,29.166666666666668,55.5,0.993764113160379,116992.9765625,0.6823045611381531,0.08184625163524079,2811363264,1.0,9239,10,6
MG,3.8608076572418213,1.1735652685165405,2.410460740639264,1.9618733525276184,41.166666666666664,45.833333333333336,0.9908439168234647,116537.0390625,0.6835426688194275,0.08742438946603526,1884968544,1.0,9239,10,6
MG,4.165529012680054,0.5660586953163147,1.7572602856172808,1.7003096640110016,11.333333333333334,30.166666666666668,0.9991185794248515,116339.6171875,0.6840787529945374,0.04216837012949611,1859786275,1.0,9239,10,6
MG,4.592363119125366,0.6612638831138611,1.6159990220220477,1.5781441529591878,5.166666666666667,29.166666666666668,0.9966990411827982,116030.171875,0.6849190592765808,0.049260652217842725,3687649985,1.0,9239,10,6
MG,2.2860002517700195,0.6356117129325867,1.753324737025389,1.5287808974583943,9.666666666666666,24.333333333333332,0.9977726544994759,116069.3671875,0.684812605381012,0.047349695355084494,369133708,1.0,9239,10,6
MG,3.313645601272583,1.285329818725586,2.4949942834881162,2.1635511914889016,46.5,55.833333333333336,0.9875489172699013,116384.609375,0.6839565634727478,0.09575025545282669,2995172877,1.0,9239,10,6
MG,3.4164702892303467,0.6909687519073486,1.9053747109333596,1.7683963179588318,16.166666666666668,41.0,0.9971115101172371,116167.390625,0.6845464110374451,0.051473509924086586,865305066,1.0,9239,10,6
MG,2.6288187503814697,0.35316357016563416,1.694613541479347,1.3060730795065563,7.166666666666667,10.833333333333334,0.9995600309773639,115953.65625,0.6851268410682678,0.02630881178120538,404488628,1.0,9239,10,6
MG,2.5217902660369873,0.5536357164382935,1.8616500717724251,1.7485967377821605,15.333333333333334,32.166666666666664,0.9992832561367814,116405.453125,0.683899998664856,0.04124292300724889,2261209995,1.0,9239,10,6
