celltype,time,rss,varexpl,seed,n_samples,n_dimensions,n_archetypes,init_alg,optim_alg
T4,105.9658854007721,1015584.5,0.59340215,383329927,249824,10,4,uniform,projected_gradients
T4,101.79528880119324,1016803.1,0.5929115,3324115916,249824,10,4,uniform,projected_gradients
T4,100.43017554283142,1016409.4,0.59308636,2811363264,249824,10,4,uniform,projected_gradients
T4,108.11076307296753,1013871.25,0.5940923,1884968544,249824,10,4,uniform,projected_gradients
T4,104.9839813709259,1015649.06,0.5933864,1859786275,249824,10,4,uniform,projected_gradients
T4,109.95259213447571,1015270.1,0.59352523,3687649985,249824,10,4,uniform,projected_gradients
T4,102.10276007652283,1013536.4,0.59422505,369133708,249824,10,4,uniform,projected_gradients
T4,102.94961929321289,1015171.4,0.59357715,2995172877,249824,10,4,uniform,projected_gradients
T4,100.74516868591309,1015443.6,0.59346616,865305066,249824,10,4,uniform,projected_gradients
T4,117.9231584072113,1015876.06,0.5932966,404488628,249824,10,4,uniform,projected_gradients
T4,176.94871377944946,1016291.06,0.59311986,2261209995,249824,10,4,uniform,projected_gradients
T4,81.45845127105713,1016461.3,0.5930486,4190266092,249824,10,4,uniform,projected_gradients
T4,93.86028337478638,1015340.9,0.5935031,3160032368,249824,10,4,uniform,projected_gradients
T4,173.42352437973022,1015614.25,0.59339446,3269070126,249824,10,4,uniform,projected_gradients
T4,100.55271816253662,1016276.4,0.59313107,3081541439,249824,10,4,uniform,projected_gradients
T4,121.05180382728577,1018456.8,0.5922494,3376120482,249824,10,4,uniform,projected_gradients
T4,88.81054854393005,1013497.0,0.5942405,2204291346,249824,10,4,uniform,projected_gradients
T4,95.71059918403625,1014303.5,0.59391046,550243861,249824,10,4,uniform,projected_gradients
T4,119.41200947761536,1014149.44,0.5939841,3606691181,249824,10,4,uniform,projected_gradients
T4,64.14180278778076,1016680.7,0.5929648,1934392872,249824,10,4,uniform,projected_gradients
T4,114.28836798667908,1027179.8,0.5887713,383329927,249824,10,4,uniform,frank_wolfe
T4,153.68313717842102,1023377.75,0.5902916,3324115916,249824,10,4,uniform,frank_wolfe
T4,144.04361701011658,1021694.0,0.59096515,2811363264,249824,10,4,uniform,frank_wolfe
T4,91.15425539016724,1023407.25,0.590279,1884968544,249824,10,4,uniform,frank_wolfe
T4,93.85652375221252,1022960.9,0.5904572,1859786275,249824,10,4,uniform,frank_wolfe
