celltype,time,min_l2_distance_to_ref,mean_gex_corr,rss,varexpl,mean_rel_l2_distance,seed,coreset_fraction,n_samples,n_dimensions,n_archetypes
T4,93.82336378097534,0.0,1.0,955110.125,0.5937778949737549,0.039373521774101056,383329927,1.0,249824,10,4
T4,91.18754243850708,0.0,1.0,955832.125,0.5934708118438721,0.060439042444941304,3324115916,1.0,249824,10,4
T4,109.00251460075378,0.0,1.0,953675.375,0.5943881273269653,0.01901029443449416,2811363264,1.0,249824,10,4
T4,83.27908325195312,0.0,1.0,955651.5625,0.5935476422309875,0.01540753357667536,1884968544,1.0,249824,10,4
T4,110.29304885864258,0.0,1.0,955021.625,0.5938155055046082,0.02958695762238187,1859786275,1.0,249824,10,4
T4,94.66644263267517,0.0,0.99999994,953733.9375,0.5943631529808044,0.012426811587071462,3687649985,1.0,249824,10,4
T4,105.35568642616272,0.0,0.99999994,954538.75,0.5940209031105042,0.012629196390200178,369133708,1.0,249824,10,4
T4,106.69058108329773,0.0,1.0,953855.3125,0.5943115949630737,0.018485937629969383,2995172877,1.0,249824,10,4
T4,107.48730397224426,0.0,1.0,955192.9375,0.5937426686286926,0.013471478831789188,865305066,1.0,249824,10,4
T4,100.40652465820312,0.0,1.0,954144.875,0.5941884517669678,0.025855063047674133,404488628,1.0,249824,10,4
T4,81.66932368278503,0.0,1.0,954706.5625,0.593949556350708,0.01983102366440244,2261209995,1.0,249824,10,4
T4,89.21511173248291,0.0,1.0,954716.375,0.5939453840255737,0.01957940096786765,4190266092,1.0,249824,10,4
T4,97.84832549095154,0.0,0.99999994,953557.25,0.594438374042511,0.013600650384134386,3160032368,1.0,249824,10,4
T4,67.92368721961975,0.0,1.0,955173.625,0.5937508940696716,0.010482753072748938,3269070126,1.0,249824,10,4
T4,84.84076404571533,0.0,1.0,953459.625,0.5944798588752747,0.013041349370717806,3081541439,1.0,249824,10,4
T4,95.58098125457764,0.0,0.99999994,953962.5625,0.5942659974098206,0.02404014830103863,3376120482,1.0,249824,10,4
T4,71.80969858169556,0.0,1.0,955730.25,0.5935141444206238,0.023929095873266196,2204291346,1.0,249824,10,4
T4,80.27145481109619,0.0,1.0,955425.25,0.593643844127655,0.024376226887476878,550243861,1.0,249824,10,4
T4,89.33838367462158,0.0,1.0,955196.25,0.593741238117218,0.017062702388147978,3606691181,1.0,249824,10,4
T4,77.05208015441895,0.0,1.0,954312.9375,0.5941169261932373,0.01189244988954695,1934392872,1.0,249824,10,4
T4,47.37012481689453,0.183587868370596,0.9998746,953585.6965111479,0.5944262560577168,0.03279114420860587,383329927,0.64,249824,10,4
