celltype,log10_coreset_size,coreset_size,varexpl
B,-1.4642918154225335,0.0343327178601354,0.5236568871072741
NK,-1.4875345426514626,0.03254358981452728,0.680593775264901
T4,-1.6734763604828955,0.021209168356927224,0.588173957115442
T8,-1.4642918154225335,0.0343327178601354,0.6639624404027686
cDC,-0.7437672713257313,0.18039841965640185,0.6136264423040283
cM,-1.0924081797596679,0.08083358125709168,0.6298160998264324
ncM,-0.9761945436150223,0.10563442104148948,0.5326052707737547
pDC,-0.5810681807232276,0.26238065946220224,0.4895113663918876
