archetype,gene,log1p,z_scaled
arch_0,0610005C13Rik,0.24877994,0.051250443
arch_0,0610009B22Rik,0.03413739,-0.03518873
arch_0,0610009O20Rik,0.017135216,0.025712276
arch_0,0610010F05Rik,0.020350391,0.015795343
arch_0,0610010K14Rik,0.008551944,-0.004179677
arch_0,0610012G03Rik,0.14814185,0.015205232
arch_0,0610030E20Rik,0.04136689,0.012263995
arch_0,0610031O16Rik,0.043509662,0.045298107
arch_0,0610037L13Rik,0.030446809,0.0031266669
arch_0,0610040B10Rik,0.011999593,0.005852446
arch_0,0610040J01Rik,0.029068287,-0.019892432
arch_0,1110004E09Rik,0.02248949,-0.017839674
arch_0,1110004F10Rik,0.07067716,-0.007955388
arch_0,1110008F13Rik,0.27449054,0.116811655
arch_0,1110008L16Rik,0.009467427,0.006928103
arch_0,1110008P14Rik,0.07562395,0.06561002
arch_0,1110012L19Rik,0.027382636,0.016196748
arch_0,1110019D14Rik,0.007850313,0.0032136245
arch_0,1110032A03Rik,0.044964634,0.03265627
arch_0,1110034G24Rik,0.015066234,0.027766783
arch_0,1110038F14Rik,0.014343157,0.028386746
arch_0,1110059E24Rik,0.030812988,-0.013073878
arch_0,1110059G10Rik,0.026707985,0.022481438
arch_0,1110065P20Rik,0.065333426,0.046636675
arch_0,1190002N15Rik,0.036891535,-0.0029637609
arch_0,1190005I06Rik,0.039872095,0.068659514
arch_0,1190007I07Rik,0.0294385,0.015014259
arch_0,1300002E11Rik,0.03791918,0.037262615
arch_0,1300017J02Rik,0.15978551,-0.17358355
arch_0,1500011K16Rik,0.072698504,0.009180429
arch_0,1600002K03Rik,0.017537186,0.03331812
arch_0,1600012H06Rik,0.023101583,2.6802532e-05
arch_0,1600014C10Rik,0.18408465,0.07410553
arch_0,1600020E01Rik,0.03233196,0.0712197
arch_0,1700001C19Rik,0.02956261,0.008494256
arch_0,1700017B05Rik,0.019706197,0.0019415338
arch_0,1700018L02Rik,0.008354151,0.00447264
arch_0,1700020I14Rik,0.07574296,-0.01090432
arch_0,1700021F05Rik,0.033407103,0.004300195
arch_0,1700066M21Rik,0.03025692,-0.018330973
arch_0,1700096K18Rik,0.0062700566,-0.017505195
arch_0,1700123O20Rik,0.033032354,0.026270833
arch_0,1810008I18Rik,0.1604941,-0.027085453
arch_0,1810013L24Rik,0.049116228,0.011219825
arch_0,1810022K09Rik,0.09654785,0.021185648
arch_0,1810024B03Rik,0.010510907,-0.022562696
arch_0,1810034E14Rik,0.021032242,0.03852265
arch_0,1810037I17Rik,0.091715865,0.029073408
arch_0,1810043G02Rik,0.008640151,-0.0146900965
arch_0,1810044D09Rik,0.026535112,0.058506213
arch_0,1810055G02Rik,0.042202055,0.073708594
arch_0,1810058I24Rik,0.27057326,0.22732374
arch_0,2010003K11Rik,0.015182503,0.013248833
arch_0,2010107E04Rik,0.20628607,-0.12413798
arch_0,2010111I01Rik,0.023206431,0.014749111
