celltype,time,rss,varexpl,seed,n_samples,n_dimensions,n_archetypes,init_alg,optim_alg
Oligo,34.183268547058105,660405.2,0.5684424,383329927,153038,10,4,uniform,projected_gradients
Oligo,23.079777002334595,659677.56,0.56891555,3324115916,153038,10,4,uniform,projected_gradients
Oligo,31.74484896659851,659866.1,0.5687951,2811363264,153038,10,4,uniform,projected_gradients
Oligo,47.51620531082153,662277.75,0.5672166,1884968544,153038,10,4,uniform,projected_gradients
Oligo,21.702021837234497,660238.44,0.5685527,1859786275,153038,10,4,uniform,projected_gradients
Oligo,46.58460068702698,660462.8,0.5684033,3687649985,153038,10,4,uniform,projected_gradients
Oligo,67.83981108665466,660720.06,0.56823474,369133708,153038,10,4,uniform,projected_gradients
Oligo,43.89157724380493,661319.3,0.5678435,2995172877,153038,10,4,uniform,projected_gradients
Oligo,26.21653437614441,660328.6,0.56849277,865305066,153038,10,4,uniform,projected_gradients
Oligo,39.81168746948242,660098.4,0.5686429,404488628,153038,10,4,uniform,projected_gradients
Oligo,25.940003156661987,660069.44,0.5686628,2261209995,153038,10,4,uniform,projected_gradients
Oligo,27.13589644432068,660767.8,0.5682022,4190266092,153038,10,4,uniform,projected_gradients
Oligo,21.48981213569641,660148.06,0.5686114,3160032368,153038,10,4,uniform,projected_gradients
Oligo,41.16556215286255,659816.8,0.56882834,3269070126,153038,10,4,uniform,projected_gradients
Oligo,37.73781776428223,661175.25,0.56793433,3081541439,153038,10,4,uniform,projected_gradients
Oligo,60.851557970047,659710.94,0.5688958,3376120482,153038,10,4,uniform,projected_gradients
Oligo,31.44765281677246,660457.3,0.5684084,2204291346,153038,10,4,uniform,projected_gradients
Oligo,27.653624773025513,659364.8,0.56912416,550243861,153038,10,4,uniform,projected_gradients
Oligo,37.40722942352295,661314.44,0.5678441,3606691181,153038,10,4,uniform,projected_gradients
Oligo,57.38347911834717,661933.8,0.56744206,1934392872,153038,10,4,uniform,projected_gradients
Oligo,44.05902028083801,663765.06,0.56624603,383329927,153038,10,4,uniform,frank_wolfe
Oligo,37.80844330787659,664742.1,0.56560886,3324115916,153038,10,4,uniform,frank_wolfe
Oligo,31.224027395248413,665061.56,0.5653999,2811363264,153038,10,4,uniform,frank_wolfe
Oligo,36.4629545211792,664852.25,0.56553596,1884968544,153038,10,4,uniform,frank_wolfe
Oligo,34.64987850189209,664472.7,0.565783,1859786275,153038,10,4,uniform,frank_wolfe
Oligo,37.20142865180969,664575.1,0.5657173,3687649985,153038,10,4,uniform,frank_wolfe
Oligo,48.004384994506836,665078.75,0.5653873,369133708,153038,10,4,uniform,frank_wolfe
Oligo,36.78855013847351,664482.7,0.5657773,2995172877,153038,10,4,uniform,frank_wolfe
Oligo,30.235153675079346,664026.75,0.5660768,865305066,153038,10,4,uniform,frank_wolfe
Oligo,47.59109425544739,663792.44,0.56622726,404488628,153038,10,4,uniform,frank_wolfe
Oligo,36.399227142333984,664232.94,0.5659404,2261209995,153038,10,4,uniform,frank_wolfe
Oligo,30.651249170303345,662428.3,0.5671216,4190266092,153038,10,4,uniform,frank_wolfe
Oligo,35.91816329956055,664372.94,0.5658488,3160032368,153038,10,4,uniform,frank_wolfe
Oligo,37.07201409339905,664754.4,0.56559867,3269070126,153038,10,4,uniform,frank_wolfe
Oligo,40.99651503562927,664008.2,0.5660895,3081541439,153038,10,4,uniform,frank_wolfe
Oligo,47.67120718955994,664026.5,0.56607425,3376120482,153038,10,4,uniform,frank_wolfe
Oligo,31.739378929138184,665271.44,0.56526184,2204291346,153038,10,4,uniform,frank_wolfe
Oligo,34.27936029434204,663567.94,0.5663733,550243861,153038,10,4,uniform,frank_wolfe
Oligo,34.517821311950684,663385.1,0.56649566,3606691181,153038,10,4,uniform,frank_wolfe
Oligo,30.760095357894897,663555.2,0.5663829,1934392872,153038,10,4,uniform,frank_wolfe
Oligo,14.36325716972351,660280.94,0.56852025,383329927,153038,10,4,furthest_sum,projected_gradients
Oligo,30.31265163421631,662738.6,0.5669155,3324115916,153038,10,4,furthest_sum,projected_gradients
Oligo,26.495656490325928,661898.25,0.5674594,2811363264,153038,10,4,furthest_sum,projected_gradients
Oligo,24.04179072380066,660161.94,0.5685987,1884968544,153038,10,4,furthest_sum,projected_gradients
Oligo,22.307644605636597,661977.7,0.5674128,1859786275,153038,10,4,furthest_sum,projected_gradients
Oligo,28.46723747253418,661504.4,0.56772053,3687649985,153038,10,4,furthest_sum,projected_gradients
Oligo,30.410131454467773,661268.7,0.56786984,369133708,153038,10,4,furthest_sum,projected_gradients
Oligo,25.180940866470337,661866.5,0.56748384,2995172877,153038,10,4,furthest_sum,projected_gradients
Oligo,29.892757654190063,662106.3,0.5673242,865305066,153038,10,4,furthest_sum,projected_gradients
Oligo,30.489327907562256,660382.56,0.5684563,404488628,153038,10,4,furthest_sum,projected_gradients
Oligo,36.99627494812012,661231.8,0.5679035,2261209995,153038,10,4,furthest_sum,projected_gradients
Oligo,18.42835545539856,660185.3,0.5685818,4190266092,153038,10,4,furthest_sum,projected_gradients
Oligo,25.614243745803833,659988.44,0.568713,3160032368,153038,10,4,furthest_sum,projected_gradients
Oligo,34.53445863723755,661256.9,0.56788325,3269070126,153038,10,4,furthest_sum,projected_gradients
Oligo,25.796744108200073,661440.3,0.56776386,3081541439,153038,10,4,furthest_sum,projected_gradients
Oligo,21.34517002105713,659798.56,0.56883574,3376120482,153038,10,4,furthest_sum,projected_gradients
Oligo,20.710491180419922,661268.44,0.56787556,2204291346,153038,10,4,furthest_sum,projected_gradients
Oligo,23.338411569595337,662588.44,0.5670107,550243861,153038,10,4,furthest_sum,projected_gradients
Oligo,15.161097764968872,660638.0,0.56828666,3606691181,153038,10,4,furthest_sum,projected_gradients
Oligo,20.63211178779602,660410.75,0.56843644,1934392872,153038,10,4,furthest_sum,projected_gradients
Oligo,13.550684213638306,663700.3,0.5662902,383329927,153038,10,4,furthest_sum,frank_wolfe
Oligo,20.138013124465942,664025.25,0.56607455,3324115916,153038,10,4,furthest_sum,frank_wolfe
Oligo,15.164245367050171,663370.56,0.5665044,2811363264,153038,10,4,furthest_sum,frank_wolfe
Oligo,14.084874391555786,664876.3,0.5655213,1884968544,153038,10,4,furthest_sum,frank_wolfe
Oligo,17.847840547561646,664198.25,0.5659634,1859786275,153038,10,4,furthest_sum,frank_wolfe
Oligo,18.33578324317932,663209.7,0.56661046,3687649985,153038,10,4,furthest_sum,frank_wolfe
Oligo,16.56595802307129,664174.7,0.56597674,369133708,153038,10,4,furthest_sum,frank_wolfe
Oligo,16.463415145874023,663506.25,0.5664144,2995172877,153038,10,4,furthest_sum,frank_wolfe
Oligo,16.61493444442749,663044.6,0.5667151,865305066,153038,10,4,furthest_sum,frank_wolfe
Oligo,16.647428035736084,664775.1,0.56558526,404488628,153038,10,4,furthest_sum,frank_wolfe
