,celltype,log10_corset_size,coreset_size,coreset_time,full_time,time_saving,dataset,n_samples,n_dimensions,n_archetypes,log10_n_samples,time_fraction
0,AS,-0.9994372708439516,0.1001296571589204,0.9763972349332112,3.717027461528778,3.8,ms,13987,10,5,4.145724574880668,0.26268227637242914
1,EC,-0.7902527257835896,0.1620866603921549,0.1528767737765513,0.323848032951355,2.1,ms,2230,10,4,3.3483048630481607,0.4720633081613153
2,MG,-0.6275536351810858,0.235747103132732,2.5763890297440986,3.512053835391998,1.4,ms,9239,10,6,3.965624967109243,0.7335847200806177
3,NEU,-1.1621363614464553,0.0688436104598201,0.5890939447873185,2.1449090003967286,3.6,ms,8171,10,6,3.9122752104988123,0.2746475233580343
4,OL,-0.9761945436150224,0.1056344210414894,5.235226512463008,14.299700462818146,2.7,ms,64834,10,5,4.811802816672131,0.36610742484260844
5,OPC,-0.0464854544578581,0.8984926846968805,1.344565583667398,1.1716331005096436,0.9,ms,3945,10,4,3.596047007545439,1.1475995199201279
0,B,-1.4178063609646754,0.0382114606439094,6.354305286069017,20.84745659828186,3.3,lupus,112076,10,4,5.049512622554955,0.304800024699066
1,NK,-1.3945636337357463,0.0403121875855682,4.128680794815286,12.710859167575835,3.1,lupus,63298,6,4,4.801389988015998,0.3248152418639921
2,T4,-1.6502336332539664,0.0223751711902859,13.24068809860685,56.72130197286606,4.3,lupus,249824,10,4,5.397634157684593,0.2334341356434455
3,T8,-1.5107772698803918,0.0308476958430935,9.945090616522348,52.014439499378206,5.2,lupus,183430,10,4,5.263470366061185,0.1911986500717985
4,cDC,-0.5578254534942986,0.2768053925400333,2.411197158489964,2.1424206852912904,0.9,lupus,13516,10,5,4.1308481831028585,1.12545457343833
5,cM,-1.022679998072881,0.0949117545579684,15.91447396643412,64.26443967819213,4.0,lupus,219307,10,5,5.341052494025244,0.24764043763746732
6,ncM,-0.8832236346993061,0.1308507949118911,2.609936652521671,4.301071143150329,1.6,lupus,35565,10,4,4.551022813033869,0.6068108537749081
7,pDC,-0.3951263628917949,0.4025998762942617,0.4580331842998302,0.5296788692474366,1.2,lupus,4011,10,4,3.6032526619816467,0.8647375058601073
0,Astrocyte,-1.580505451567179,0.0262720854770817,8.061118118836816,33.91261560916901,4.2,ms_xenium,150751,10,4,5.1782602016947195,0.2377026358491003
1,Endothelial,-1.2318645431332425,0.0586321010084859,0.9503454768575526,2.414710712432861,2.5,ms_xenium,21323,10,3,4.328848306911196,0.3935649400834702
2,Myeloid,-1.1853790886753843,0.0652560694228316,10.053445461212736,36.77826815843582,3.7,ms_xenium,147478,10,5,5.168727239356825,0.2733528783330375
3,OPC,-0.8599809074703768,0.1380444950630182,1.7519488613779646,2.638261687755585,1.5,ms_xenium,21451,10,5,4.331447542877797,0.6640542405284966
4,Oligo,-1.534019997109321,0.0292401773821286,8.285497180833733,32.087238347530366,3.9,ms_xenium,153038,10,4,5.184799281413912,0.2582178338657629
5,Schwann,-0.9761945436150224,0.1056344210414894,2.887153492359748,4.7954025030136105,1.7,ms_xenium,25065,10,4,4.399067708949072,0.6020669778074631
6,T_cell,-1.1853790886753843,0.0652560694228316,0.6048953444682127,1.883053195476532,3.1,ms_xenium,13562,10,3,4.132323740040991,0.32123115051730433
