celltype,time,min_l2_distance_to_ref,mean_gex_corr,rss,varexpl,mean_rel_l2_distance,seed,coreset_fraction,n_samples,n_dimensions,n_archetypes
MG,7.847224235534668,0.0,1.0,115890.0859375,0.6852994561195374,0.029647444791757526,383329927,1.0,9239,10,6
MG,5.397562265396118,0.0,1.0,116323.859375,0.6841215491294861,0.04335576823780837,3324115916,1.0,9239,10,6
MG,5.408630847930908,0.0,1.0,116992.9765625,0.6823045611381531,0.08184625163524079,2811363264,1.0,9239,10,6
MG,6.342528820037842,0.0,1.0,116537.0390625,0.6835426688194275,0.08742438946603526,1884968544,1.0,9239,10,6
MG,6.460744380950928,0.0,1.0,116339.6171875,0.6840787529945374,0.04216837012949611,1859786275,1.0,9239,10,6
MG,6.758303165435791,0.0,1.0,116030.171875,0.6849190592765808,0.049260652217842725,3687649985,1.0,9239,10,6
MG,4.604960918426514,0.0,0.9999999999999999,116069.3671875,0.684812605381012,0.047349695355084494,369133708,1.0,9239,10,6
MG,5.53254508972168,0.0,1.0,116384.609375,0.6839565634727478,0.09575025545282669,2995172877,1.0,9239,10,6
MG,5.5448291301727295,0.0,1.0,116167.390625,0.6845464110374451,0.051473509924086586,865305066,1.0,9239,10,6
MG,4.8858489990234375,0.0,1.0,115953.65625,0.6851268410682678,0.02630881178120538,404488628,1.0,9239,10,6
MG,4.395069122314453,0.0,1.0,116405.453125,0.683899998664856,0.04124292300724889,2261209995,1.0,9239,10,6
MG,4.848394155502319,0.0,1.0,115914.9375,0.6852319836616516,0.021483341001222456,4190266092,1.0,9239,10,6
MG,2.7766659259796143,0.0,1.0,116126.9921875,0.6846561431884766,0.023205525009912322,3160032368,1.0,9239,10,6
MG,3.5681731700897217,0.0,0.9999999999999999,116252.484375,0.6843153834342957,0.023351764902883456,3269070126,1.0,9239,10,6
MG,4.843286991119385,0.0,0.9999999999999999,116137.4140625,0.684627890586853,0.031210919817196,3081541439,1.0,9239,10,6
MG,5.3740234375,0.0,1.0,116398.4375,0.6839190125465393,0.02790508160378732,3376120482,1.0,9239,10,6
MG,3.439103841781616,0.0,1.0,116291.53125,0.6842093467712402,0.06355269104639083,2204291346,1.0,9239,10,6
MG,3.6540422439575195,0.0,1.0,116721.609375,0.6830414533615112,0.05369476373483211,550243861,1.0,9239,10,6
MG,4.223551273345947,0.0,1.0,116116.34375,0.6846850514411926,0.036984167264988786,3606691181,1.0,9239,10,6
MG,6.035058498382568,0.0,1.0,116469.8515625,0.683725118637085,0.08703875698940515,1934392872,1.0,9239,10,6
MG,3.3676934242248535,0.4464952938557319,0.9995329118168418,116177.34598376241,0.6845194048996266,0.046689097520769475,383329927,0.64,9239,10,6
MG,3.3748672008514404,0.5024124028637353,0.9991690006115976,116428.58463747017,0.6838371641468122,0.03111077277274076,3324115916,0.64,9239,10,6
MG,2.47818660736084,0.6183185499448302,0.9987911693904202,116707.46121352568,0.683079872375094,0.07049503083264316,2811363264,0.64,9239,10,6
MG,2.2776248455047607,0.6101268208247322,0.9992168131571079,117001.9634000684,0.6822801491219751,0.06185604961711539,1884968544,0.64,9239,10,6
MG,5.525707244873047,0.5015666810301402,0.9992553091510269,116571.20090829703,0.6834498884209771,0.050801000095713006,1859786275,0.64,9239,10,6
MG,2.7094857692718506,0.5191699970091223,0.99899160451877,116384.43658153454,0.6839570485773021,0.06063849912206994,3687649985,0.64,9239,10,6
MG,2.0795204639434814,0.5716906489822636,0.9987045523019122,116719.93470966035,0.6830460004876773,0.06224355822226662,369133708,0.64,9239,10,6
MG,3.674560546875,0.5355035542971138,0.9994818678678424,116467.20308842114,0.6837322954068293,0.038080937564875454,2995172877,0.64,9239,10,6
MG,3.1085965633392334,0.45369151266758184,0.9994564060152752,116179.74103035065,0.6845129011297517,0.056682570984902425,865305066,0.64,9239,10,6
MG,2.8912508487701416,0.5012816767245679,0.9991546592984828,116593.16443111951,0.6833902462834169,0.04213676091591873,404488628,0.64,9239,10,6
MG,2.47182559967041,0.6032436229846284,0.9990070584777371,116489.63257764443,0.6836713879334485,0.059527641912067886,2261209995,0.64,9239,10,6
MG,2.7202837467193604,0.48411449861092,0.9995978349154283,116541.88478950727,0.6835294965969387,0.04993414029579794,4190266092,0.64,9239,10,6
MG,3.432788610458374,0.5801526296826912,0.9992019591255469,116952.80169125757,0.6824136481705243,0.055340229784971884,3160032368,0.64,9239,10,6
MG,3.4960620403289795,0.5236783147043617,0.998780295833952,116756.25489654877,0.6829473727037777,0.06134996315146163,3269070126,0.64,9239,10,6
MG,3.1569478511810303,0.4775739070452895,0.9997515139834051,116505.58050652355,0.6836280811936465,0.04783583066901434,3081541439,0.64,9239,10,6
MG,2.7523725032806396,0.5612527776648035,0.9993881515396694,116753.24650642142,0.6829555420133762,0.08853744346809733,3376120482,0.64,9239,10,6
MG,3.1638095378875732,0.6358796128130614,0.998127990528181,116673.82813236534,0.6831712032999803,0.04594719042018197,2204291346,0.64,9239,10,6
MG,3.258516550064087,0.425431276235716,0.9996499366300226,116595.38322134051,0.6833842211392428,0.04764994720438478,550243861,0.64,9239,10,6
MG,3.073765277862549,0.5327868880770766,0.9993923421972349,116387.11874495287,0.6839497651391739,0.060830382690402696,3606691181,0.64,9239,10,6
MG,3.1250722408294678,0.30988836170722317,0.999652845864223,116543.53089247321,0.6835250265899946,0.03264651971574037,1934392872,0.64,9239,10,6
MG,1.7128210067749023,0.7841943274883886,0.9984502529717316,117657.28743055691,0.6805006110083142,0.05759277310798614,383329927,0.32,9239,10,6
MG,1.6548771858215332,0.6579454561074772,0.9994948206010932,117038.7361752125,0.6821802923307245,0.04720957484607938,3324115916,0.32,9239,10,6
