n_archetypes,n_cells,coreset_fraction,seed,ok,error,rss_poll_ms,time,time_total,time_copy,time_compute,mem_rss_start_mb,mem_rss_post_copy_mb,mem_rss_end_mb,mem_rss_delta_post_copy_mb,mem_rss_delta_since_start_mb,mem_rss_peak_mb,mem_rss_peak_over_post_copy_mb,mem_rss_peak_over_start_mb,mem_rss_peak_copy_sampled_mb,mem_rss_peak_compute_sampled_mb
3,1000,1.0,383329927,True,,50,0.2543952465057373,0.25583815574645996,0.0003323554992675781,0.2543952465057373,116857.640625,116856.109375,116859.3046875,3.1953125,1.6640625,116859.3046875,1.34375,1.6640625,116857.83203125,116859.1796875
3,1000,1.0,3324115916,True,,50,0.21650981903076172,0.21773123741149902,0.0003161430358886719,0.21650981903076172,116857.64453125,116856.11328125,116859.328125,3.21484375,1.68359375,116859.328125,1.36328125,1.68359375,116857.8359375,116859.171875
3,1000,1.0,2811363264,True,,50,0.19231581687927246,0.19350457191467285,0.00028514862060546875,0.19231581687927246,116857.64453125,116856.11328125,116859.30859375,3.1953125,1.6640625,116859.30859375,1.34375,1.6640625,116857.8359375,116859.18359375
3,1000,1.0,1884968544,True,,50,0.2475142478942871,0.24857187271118164,0.0002665519714355469,0.2475142478942871,116857.64453125,116856.11328125,116859.3125,3.19921875,1.66796875,116859.3125,1.34765625,1.66796875,116857.8359375,116859.18359375
3,1000,1.0,1859786275,True,,50,0.18066763877868652,0.1819920539855957,0.000274658203125,0.18066763877868652,116857.64453125,116856.23828125,116859.31640625,3.078125,1.671875,116859.31640625,1.2265625,1.671875,116857.8359375,116859.31640625
3,1000,0.1,383329927,True,,50,0.08624696731567383,0.08784866333007812,0.00031828880310058594,0.08624696731567383,116857.64453125,116856.11328125,116859.4296875,3.31640625,1.78515625,116859.4296875,1.46484375,1.78515625,116857.8359375,116859.08203125
3,1000,0.1,3324115916,True,,50,0.07715320587158203,0.07809162139892578,0.00022649765014648438,0.07715320587158203,116857.64453125,116856.23828125,116859.39453125,3.15625,1.75,116859.39453125,1.3046875,1.75,116857.8359375,116859.20703125
3,1000,0.1,2811363264,True,,50,0.08062958717346191,0.08237981796264648,0.0002529621124267578,0.08062958717346191,116857.6484375,116856.1171875,116859.39453125,3.27734375,1.74609375,116859.39453125,1.42578125,1.74609375,116857.83984375,116859.078125
3,1000,0.1,1884968544,True,,50,0.08080816268920898,0.08184647560119629,0.00023245811462402344,0.08080816268920898,116857.6484375,116856.2421875,116859.421875,3.1796875,1.7734375,116859.421875,1.328125,1.7734375,116857.83984375,116859.21484375
3,1000,0.1,1859786275,True,,50,0.09256577491760254,0.0934758186340332,0.00022840499877929688,0.09256577491760254,116857.65234375,116856.24609375,116859.43359375,3.1875,1.78125,116859.43359375,1.3359375,1.78125,116857.84375,116859.2109375
