pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,archetype
0.28189695,3.8394234,0.24891296,-0.41864723,0.27485928,0.034895204,0.05302789,0.08695823,-0.010155197,0.037613623,0.111576304,-0.028819164,-0.098293275,-0.08070551,0.102056265,0.36141783,0
2.777881,-2.1370778,-1.6500202,0.04597148,-0.046156242,0.08659515,-0.0690839,-0.16931248,0.23493153,0.013611808,0.02303011,0.04382791,0.0010840204,-0.006070461,0.0024998412,0.0011536516,1
-3.0254745,-1.6605889,1.6897368,0.5405998,-0.36068365,-0.40772092,0.08484719,0.4206864,-0.46108672,0.115478635,-0.15348119,0.053156108,0.042653035,0.29421976,-0.03253856,-0.32686988,2
