X_pca_harmony_0,X_pca_harmony_1,X_pca_harmony_2,X_pca_harmony_3,X_pca_harmony_4,X_pca_harmony_5,X_pca_harmony_6,X_pca_harmony_7,X_pca_harmony_8,X_pca_harmony_9,X_pca_harmony_10,X_pca_harmony_11,X_pca_harmony_12,X_pca_harmony_13,X_pca_harmony_14,X_pca_harmony_15,archetype,iter,reference,mean_variance,variance_per_archetype,n_archetypes
2.4315155,-1.2696028,-1.3577527,-0.064408116,-0.009327963,0.06628101,-0.06460489,-0.15697508,0.160176,-0.013565633,0.057908133,0.01083298,-0.027757002,-0.026636086,0.04599256,0.05976472,0,1,False,0.0011967409,0.0009734917,2
-1.5888983,1.1118845,1.0550946,0.10018254,-0.050730657,-0.19906382,0.07492084,0.3215722,-0.22106986,0.096472375,-0.045097556,0.034735885,-0.027628345,0.11658379,0.004517339,-0.008502254,1,1,False,0.0011967409,0.00141999,2
2.1950603,-1.1279063,-1.2102599,-0.044661537,0.008103587,0.072266795,-0.055500567,-0.13417248,0.13517742,-0.0013867281,0.05242861,0.006201783,-0.029223746,-0.020168819,0.053280726,0.062020324,0,2,False,0.0011967409,0.0009734917,2
-1.8137345,1.2756544,1.195148,0.09591834,-0.049511306,-0.2089965,0.08173201,0.34569502,-0.2407687,0.10169021,-0.055745557,0.03998448,-0.032983813,0.12751403,0.00072836876,-0.013623225,1,2,False,0.0011967409,0.00141999,2
2.2113729,-1.1132914,-1.2176806,-0.030544788,0.005294353,0.05555413,-0.06598564,-0.12317997,0.13661759,0.0007098578,0.046131343,0.0121587515,-0.026201252,-0.014322534,0.052778907,0.05938087,0,3,False,0.0011967409,0.0009734917,2
-1.8690115,1.1732581,1.2345899,0.09391266,-0.04855087,-0.1952779,0.09327382,0.33540067,-0.2464815,0.094366685,-0.045085356,0.028946375,-0.029373707,0.1282124,0.008101001,-0.018366333,1,3,False,0.0011967409,0.00141999,2
2.3947542,-1.2831975,-1.3328416,-0.047060058,0.00959436,0.066622674,-0.059824318,-0.1605179,0.14800638,-0.022714585,0.058234006,0.0039815735,-0.02635009,-0.013220396,0.048905462,0.062982626,0,4,False,0.0011967409,0.0009734917,2
-1.521992,1.1017882,1.0221026,0.08548285,-0.04634664,-0.1835418,0.07178957,0.31335804,-0.20626032,0.10410027,-0.0475591,0.037938386,-0.021102311,0.11274935,0.013691252,-0.00933758,1,4,False,0.0011967409,0.00141999,2
2.4165592,-1.2500843,-1.340608,-0.048288904,0.014822394,0.08398782,-0.06358897,-0.16317213,0.15733719,-0.0125271045,0.045426995,-0.004929427,-0.023943078,-0.012644559,0.04820213,0.058904916,0,5,False,0.0011967409,0.0009734917,2
-1.6586455,1.1058197,1.1118037,0.09329844,-0.05493456,-0.19475332,0.07547583,0.32913664,-0.22286373,0.10149126,-0.045156714,0.041628815,-0.025633622,0.11823522,0.015634054,-0.014823042,1,5,False,0.0011967409,0.00141999,2
2.3594322,-1.2512016,-1.3187109,-0.041808322,-0.008075628,0.07536438,-0.065336876,-0.15721154,0.15306759,-0.007476773,0.037039865,0.007625128,-0.0213092,-0.016045574,0.041346245,0.057099707,0,6,False,0.0011967409,0.0009734917,2
-1.8423104,1.268412,1.214483,0.092852764,-0.050877783,-0.2329667,0.07806739,0.34927413,-0.2615695,0.094470955,-0.031616934,0.033961624,-0.025333535,0.12766701,0.017106567,-0.011477701,1,6,False,0.0011967409,0.00141999,2
2.3920693,-1.2307932,-1.3337011,-0.042837705,-0.00021329895,0.074048616,-0.07607016,-0.15133134,0.15619998,-0.027977165,0.059236016,0.007668296,-0.031406496,-0.014863957,0.05455911,0.076440364,0,7,False,0.0011967409,0.0009734917,2
-1.6388139,1.0729876,1.1058699,0.08374444,-0.028471997,-0.17738703,0.100696966,0.31378886,-0.23294166,0.11033785,-0.050996512,0.029515244,-0.017285388,0.11654942,0.011073684,-0.025978636,1,7,False,0.0011967409,0.00141999,2
2.3942916,-1.1596282,-1.3362792,-0.049997866,0.050804693,0.09879763,-0.066136874,-0.16979997,0.16693756,-0.007919632,0.057543963,0.013788992,-0.018404841,-0.01668461,0.051120143,0.08420251,0,8,False,0.0011967409,0.0009734917,2
-1.8544196,1.1681579,1.2296637,0.09832138,-0.111649364,-0.25361934,0.08574764,0.35900497,-0.26606384,0.098304436,-0.050586507,0.024797738,-0.034683768,0.11608967,0.0002814792,-0.029690482,1,8,False,0.0011967409,0.00141999,2
2.3940005,-1.2002268,-1.3239843,-0.044655725,0.021245373,0.06805085,-0.0685988,-0.15287556,0.1544973,-0.015815526,0.05712963,0.014132338,-0.030813226,-0.01785126,0.051718533,0.067558825,0,9,False,0.0011967409,0.0009734917,2
-1.6979655,1.1033252,1.1256366,0.0918094,-0.058435738,-0.19415893,0.08319624,0.32292426,-0.23068261,0.109086215,-0.04818823,0.02715361,-0.024638407,0.11736722,0.00962203,-0.02037762,1,9,False,0.0011967409,0.00141999,2
2.3622403,-1.1970079,-1.309095,-0.042679984,0.02073635,0.079135165,-0.062283836,-0.15501048,0.16330817,-0.012631904,0.058252215,0.010920677,-0.019689053,-0.019525796,0.046946816,0.067135036,0,10,False,0.0011967409,0.0009734917,2
-1.7561232,1.1113372,1.1769261,0.08976045,-0.021821115,-0.17627302,0.10538391,0.33221874,-0.23664488,0.110181645,-0.057695206,0.034913883,-0.016339995,0.12090981,0.00993507,-0.03239783,1,10,False,0.0011967409,0.00141999,2
2.3661578,-1.2578206,-1.3125894,-0.027170211,0.008434143,0.07327114,-0.06966154,-0.1563938,0.16027695,-0.008820944,0.054117568,0.011571525,-0.027035393,-0.020596392,0.03684787,0.064911544,0,11,False,0.0011967409,0.0009734917,2
-1.74378,1.1253555,1.1673398,0.093828976,-0.03947684,-0.18593444,0.099166974,0.33462018,-0.24154887,0.10434899,-0.04949694,0.023578618,-0.023098312,0.12716824,0.009222293,-0.02267569,1,11,False,0.0011967409,0.00141999,2
2.3671343,-1.2577502,-1.3204011,-0.04433983,0.00482201,0.07376463,-0.0680645,-0.16461453,0.1560696,-0.013570733,0.0582596,0.011671327,-0.020850167,-0.01674544,0.043970667,0.058213007,0,12,False,0.0011967409,0.0009734917,2
-1.535245,1.0641985,1.0358115,0.084490955,-0.048877776,-0.19242619,0.083979145,0.31037462,-0.22290602,0.09558334,-0.041401766,0.028374398,-0.023513522,0.11244421,0.00991984,-0.008119173,1,12,False,0.0011967409,0.00141999,2
2.3532593,-1.287918,-1.3108733,-0.04578633,-0.010637127,0.055467375,-0.07192124,-0.16973057,0.13737796,-0.01734402,0.05544911,0.006441962,-0.03243611,-0.021091212,0.040073693,0.060325246,0,13,False,0.0011967409,0.0009734917,2
-1.6609391,1.1704252,1.1160457,0.08872133,-0.03274049,-0.16955033,0.09027014,0.33467132,-0.21906237,0.1003882,-0.048402738,0.04267116,-0.010928087,0.11951177,0.020893496,-0.017863885,1,13,False,0.0011967409,0.00141999,2
2.3537164,-1.2888027,-1.3157281,-0.041321546,0.006752584,0.06567722,-0.06369593,-0.16551428,0.15349336,-0.0029429458,0.04438985,0.0020689312,-0.025492027,-0.0154150985,0.04287958,0.0625762,0,14,False,0.0011967409,0.0009734917,2
-1.6577169,1.1497046,1.1245949,0.08308691,-0.03819371,-0.18788776,0.08706791,0.32551324,-0.22961785,0.09281511,-0.041136883,0.035653476,-0.019688355,0.11806245,0.02020002,-0.013639616,1,14,False,0.0011967409,0.00141999,2
2.4272323,-1.2502202,-1.3685669,-0.042846713,0.012337446,0.08353099,-0.071238756,-0.14761642,0.16126876,-0.022893254,0.049613006,0.017266124,-0.031288166,-0.018778663,0.04662858,0.065194145,0,15,False,0.0011967409,0.0009734917,2
-1.6436266,1.0999817,1.0942959,0.08073782,-0.064649686,-0.20510124,0.07210589,0.30707428,-0.23529941,0.07523744,-0.0330087,0.033941675,-0.02888513,0.1163822,0.01675577,-0.006629277,1,15,False,0.0011967409,0.00141999,2
2.510326,-1.3011818,-1.4175559,-0.040186174,0.050699472,0.10376681,-0.055939097,-0.1665043,0.18585165,0.01075739,0.043340888,0.012049508,-0.0122949,-0.016355641,0.042386193,0.06073124,0,16,False,0.0011967409,0.0009734917,2
-1.9032774,1.2821522,1.2493961,0.107052475,-0.065442316,-0.21451986,0.07642917,0.35542217,-0.24804613,0.107050404,-0.056023747,0.038875625,-0.024958996,0.12367788,0.004725814,-0.010644043,1,16,False,0.0011967409,0.00141999,2
2.290274,-1.0576836,-1.2683449,-0.0555631,0.009307766,0.066530555,-0.062297303,-0.14355907,0.15148735,-0.008824814,0.05769358,0.018813793,-0.028464748,-0.021950286,0.049183466,0.076004125,0,17,False,0.0011967409,0.0009734917,2
-1.9391955,1.1424968,1.2758875,0.110851675,-0.054446783,-0.20787716,0.09689467,0.34631324,-0.25668523,0.1122946,-0.05398594,0.025355529,-0.022238486,0.12916116,0.009136217,-0.037122406,1,17,False,0.0011967409,0.00141999,2
2.4076734,-1.1640503,-1.3362153,-0.046526194,-0.0053753257,0.054848358,-0.083375484,-0.16363773,0.15634757,-0.024919134,0.07168408,0.005881062,-0.025286889,-0.01492485,0.046712458,0.09277209,0,18,False,0.0011967409,0.0009734917,2
-1.7759831,1.109335,1.1771109,0.09781754,-0.040714644,-0.18976933,0.10570228,0.33846915,-0.24412611,0.115863726,-0.06602218,0.03620933,-0.02266471,0.12123495,0.0030193403,-0.045415506,1,18,False,0.0011967409,0.00141999,2
2.4019933,-1.1846896,-1.336032,-0.04129529,0.028212432,0.08164234,-0.049582243,-0.17485523,0.17990702,-0.021763176,0.063839674,0.023707477,-0.034660354,-0.016724825,0.04704219,0.0730086,0,19,False,0.0011967409,0.0009734917,2
-1.6940984,1.065304,1.1347241,0.085155934,-0.066646144,-0.20293418,0.081749395,0.34013915,-0.24032497,0.112286,-0.06267119,0.028352765,-0.013276927,0.11813186,0.0012931321,-0.030759174,1,19,False,0.0011967409,0.00141999,2
2.4074993,-1.2354503,-1.3324594,-0.03201709,0.009013986,0.07110361,-0.070529126,-0.1519775,0.16282572,-0.021097817,0.06622252,0.017437879,-0.03307745,-0.019090842,0.041403383,0.06639652,0,20,False,0.0011967409,0.0009734917,2
-1.7340173,1.1708835,1.1503711,0.07966474,-0.031022426,-0.19071521,0.09155592,0.33042037,-0.23601262,0.11662044,-0.059917625,0.028433772,-0.016237978,0.12052189,0.011053437,-0.026088364,1,20,False,0.0011967409,0.00141999,2
2.4819186,-1.292396,-1.3978298,-0.061792754,0.030746505,0.0809393,-0.071854085,-0.14554954,0.15366858,-0.017846026,0.054647792,-0.0046080723,-0.016984131,-0.015710015,0.05002927,0.06707166,0,21,False,0.0011967409,0.0009734917,2
-1.7605453,1.1700333,1.1724675,0.094107695,-0.0636291,-0.20636122,0.08448194,0.3183551,-0.23349762,0.08064952,-0.035767037,0.039034724,-0.03414478,0.115293995,0.0145076625,-0.011418685,1,21,False,0.0011967409,0.00141999,2
2.3624585,-1.2420912,-1.3128171,-0.034182675,0.0070934147,0.078818426,-0.07114454,-0.16098097,0.16580914,-0.020404946,0.05405607,0.011288004,-0.0347534,-0.016792051,0.052177932,0.06830319,0,22,False,0.0011967409,0.0009734917,2
-1.6703672,1.13245,1.1169771,0.0927806,-0.042266168,-0.19337887,0.09114925,0.33508176,-0.241203,0.10518555,-0.049354587,0.03330976,-0.011723097,0.120493405,0.011057256,-0.02306212,1,22,False,0.0011967409,0.00141999,2
2.3768106,-1.3098996,-1.333195,-0.04108789,-0.0035837535,0.054836117,-0.061283473,-0.15621352,0.15434527,-0.017662078,0.046667412,0.006494643,-0.024305616,-0.015738059,0.049945954,0.06343205,0,23,False,0.0011967409,0.0009734917,2
-1.6357819,1.1451188,1.0993783,0.08929758,-0.03565247,-0.17447147,0.08486501,0.3264356,-0.22697498,0.099977285,-0.040434256,0.041294113,-0.025932,0.11657334,0.0076059736,-0.023531731,1,23,False,0.0011967409,0.00141999,2
2.4160824,-1.2491446,-1.3410286,-0.036554374,0.011320978,0.08308453,-0.06169125,-0.15669966,0.1553853,-0.0012834445,0.054358438,0.010295514,-0.028189395,-0.01894315,0.044321723,0.061594773,0,24,False,0.0011967409,0.0009734917,2
-1.6706511,1.1077404,1.1119506,0.07909311,-0.05045079,-0.19478872,0.072953545,0.32027528,-0.22979526,0.09063205,-0.040517103,0.034299072,-0.018409813,0.12029691,0.01435521,-0.013402797,1,24,False,0.0011967409,0.00141999,2
2.2559328,-1.1592661,-1.2487981,-0.020290745,0.0009962041,0.060230196,-0.06678014,-0.14667243,0.13836849,-0.009250414,0.060763396,0.011405414,-0.024042744,-0.022466186,0.04319057,0.06221825,0,25,False,0.0011967409,0.0009734917,2
-1.8788946,1.2843614,1.2472439,0.083746895,-0.048458014,-0.20522329,0.10459987,0.35317653,-0.24523705,0.11565942,-0.062065683,0.029888978,-0.020732265,0.13060652,0.004781518,-0.01961066,1,25,False,0.0011967409,0.00141999,2
2.3869922,-1.2401048,-1.3355185,-0.044212386,0.023553142,0.08572313,-0.060697593,-0.14546412,0.15790516,-0.011376571,0.051392816,0.013403717,-0.022382129,-0.016613707,0.04542946,0.063144796,0,26,False,0.0011967409,0.0009734917,2
