k,n_archetypes,n_restarts,seed,varexpl,IC,RSS
2,2,5,42,0.203128844499588,61127.354095578274,1888928.5
3,3,5,42,0.33951061964035034,51817.83264804951,1565636.0
4,4,5,42,0.41675469279289246,48765.03600255214,1382532.0
5,5,5,42,0.48438939452171326,51570.80893097207,1222211.0
6,6,5,42,0.5268024206161499,54696.983115720584,1121673.875
7,7,5,42,0.5615158677101135,58640.73030115244,1039393.1875
