setting,init_alg,optim_alg,varexpl_z_scaled,time_z_scaled
lupus__B,furthest_sum,frank_wolfe,-0.7423988829136074,-0.8567136963402895
lupus__B,furthest_sum,projected_gradients,0.8007874838138992,-0.18125281949259048
lupus__B,plus_plus,frank_wolfe,-0.8945663486582104,-0.6360573644919947
lupus__B,plus_plus,projected_gradients,0.9993915078730591,-0.5235586793267907
lupus__B,uniform,frank_wolfe,-1.0117037310356276,1.6370252151089226
lupus__B,uniform,projected_gradients,0.8484899709204505,0.5605573445427436
lupus__NK,furthest_sum,frank_wolfe,0.4637748905563542,0.16950031207195654
lupus__NK,furthest_sum,projected_gradients,-0.6413458806803078,1.0314656725021385
lupus__NK,plus_plus,frank_wolfe,0.06314073039210058,-0.47408446539172067
lupus__NK,plus_plus,projected_gradients,-0.2162360464846317,-0.5174029043377926
lupus__NK,uniform,frank_wolfe,0.513585267424743,-0.3437440202790875
lupus__NK,uniform,projected_gradients,-0.18291896120818896,0.1342654054345049
lupus__T4,furthest_sum,frank_wolfe,-0.8938146878549252,-0.9271767666735276
lupus__T4,furthest_sum,projected_gradients,0.351494232268955,-0.31631979972162944
lupus__T4,plus_plus,frank_wolfe,-0.89761244155462,-0.6130800522840101
lupus__T4,plus_plus,projected_gradients,0.9791922862292891,-0.4760017261716654
lupus__T4,uniform,frank_wolfe,-0.7517633909120272,1.3617737664402294
lupus__T4,uniform,projected_gradients,1.2125040018236692,0.9708045784106035
lupus__T8,furthest_sum,frank_wolfe,-0.11352606433701826,-1.0794936605273342
lupus__T8,furthest_sum,projected_gradients,0.532105237765136,0.0953706480312088
lupus__T8,plus_plus,frank_wolfe,-0.345054386047594,-0.9244781849433117
lupus__T8,plus_plus,projected_gradients,0.2994608767754284,-0.03618867147101264
lupus__T8,uniform,frank_wolfe,-0.39239165940944937,0.5223471184776131
lupus__T8,uniform,projected_gradients,0.019405995253565962,1.4224427504328363
lupus__cDC,furthest_sum,frank_wolfe,0.3381520487447563,0.7505372071965213
lupus__cDC,furthest_sum,projected_gradients,0.22175886424217914,-0.2478665908811911
lupus__cDC,plus_plus,frank_wolfe,-0.15221721068435648,-0.4511396922302331
lupus__cDC,plus_plus,projected_gradients,-0.24870308857828882,-1.0368797799067413
lupus__cDC,uniform,frank_wolfe,0.03372854940285119,0.9066821925365384
lupus__cDC,uniform,projected_gradients,-0.19271916312713572,0.07866666328510707
lupus__cM,furthest_sum,frank_wolfe,-0.7423568537496168,-0.8238417965948177
lupus__cM,furthest_sum,projected_gradients,1.061428279137143,-0.4620837350527346
lupus__cM,plus_plus,frank_wolfe,-0.8020175006478611,-0.14823554699587776
lupus__cM,plus_plus,projected_gradients,0.7044576295820639,0.11962242906292782
lupus__cM,uniform,frank_wolfe,-0.7205756185203044,0.6688377534516469
lupus__cM,uniform,projected_gradients,0.49906406419824556,0.645700896128856
lupus__ncM,furthest_sum,frank_wolfe,-0.33783575639276503,-0.125425939135106
lupus__ncM,furthest_sum,projected_gradients,0.38980225340459285,-0.8983447857682949
lupus__ncM,plus_plus,frank_wolfe,0.11853697873981481,0.5858016563278049
lupus__ncM,plus_plus,projected_gradients,0.3175211903429479,-0.4700653456368228
lupus__ncM,uniform,frank_wolfe,-0.4146638951443027,1.0656928164617765
lupus__ncM,uniform,projected_gradients,-0.07336077095019009,-0.15765840224935684
lupus__pDC,furthest_sum,frank_wolfe,-0.8909265085428684,0.7346787196805973
lupus__pDC,furthest_sum,projected_gradients,0.7955001214856278,1.1593193741207846
lupus__pDC,plus_plus,frank_wolfe,-0.6729056226737298,-0.20392640341654555
lupus__pDC,plus_plus,projected_gradients,0.6059424862686209,-0.5527348939833301
lupus__pDC,uniform,frank_wolfe,-0.5834903393538562,-0.37045433384193655
lupus__pDC,uniform,projected_gradients,0.745879862816351,-0.7668824625595656
ms__AS,furthest_sum,frank_wolfe,0.009750222503806326,-0.608291395645906
ms__AS,furthest_sum,projected_gradients,0.311720170011892,-0.2268985063472601
ms__AS,plus_plus,frank_wolfe,-0.3221134658180989,-0.2842978082818778
ms__AS,plus_plus,projected_gradients,-0.18925414978568245,0.5925469154546071
ms__AS,uniform,frank_wolfe,0.013365091678619859,-0.31866978950958474
ms__AS,uniform,projected_gradients,0.17653213140944574,0.8456105843300217
ms__EC,furthest_sum,frank_wolfe,0.09980208933962352,-0.37991996559268815
ms__EC,furthest_sum,projected_gradients,0.21109627696989622,-0.2946180169343003
ms__EC,plus_plus,frank_wolfe,0.10994013159154241,0.0684137459903543
ms__EC,plus_plus,projected_gradients,0.10333889857287618,-0.20222672950179676
ms__EC,uniform,frank_wolfe,0.12191559527840538,0.09989573048339354
ms__EC,uniform,projected_gradients,-0.646092991752307,0.7084552355550372
ms__MG,furthest_sum,frank_wolfe,0.26133252430720055,-0.17168558415753815
ms__MG,furthest_sum,projected_gradients,-0.053703218587528544,0.578690433431602
ms__MG,plus_plus,frank_wolfe,0.023616117499362387,-0.4496946027331151
ms__MG,plus_plus,projected_gradients,-0.129042266246304,0.052455354455668915
ms__MG,uniform,frank_wolfe,0.009614668747519938,-0.3753091470219145
ms__MG,uniform,projected_gradients,-0.11181782572019819,0.3655435460252959
ms__NEU,furthest_sum,frank_wolfe,0.5687315808289612,-0.336043165595662
ms__NEU,furthest_sum,projected_gradients,0.5525684786279286,-0.40105601608271896
ms__NEU,plus_plus,frank_wolfe,-0.09210337621777402,-0.3360173619065303
