setting,init_alg,optim_alg,varexpl_z_scaled,time_z_scaled
ms__NEU,plus_plus,projected_gradients,-0.4241006552784713,0.4089602347144864
ms__NEU,uniform,frank_wolfe,0.02076331193444837,-0.34203765592655433
ms__NEU,uniform,projected_gradients,-0.6258593398951072,1.00619396479698
ms__OL,furthest_sum,frank_wolfe,0.0276059634594635,-0.22204941680771184
ms__OL,furthest_sum,projected_gradients,0.34809893755396515,0.7415726045188566
ms__OL,plus_plus,frank_wolfe,-0.504871870011904,-0.695065675989757
ms__OL,plus_plus,projected_gradients,0.12573666553501828,-0.009245636770459233
ms__OL,uniform,frank_wolfe,-0.13149308526301723,0.043578211849321744
ms__OL,uniform,projected_gradients,0.13492338872641896,0.14120991319974946
ms__OPC,furthest_sum,frank_wolfe,-1.277587051003747,-0.6971525142904117
ms__OPC,furthest_sum,projected_gradients,-1.1683888799528441,0.05253407690801322
ms__OPC,plus_plus,frank_wolfe,0.5945530217000418,-0.29466873791790726
ms__OPC,plus_plus,projected_gradients,0.6912974468151077,0.15071587897804029
ms__OPC,uniform,frank_wolfe,0.6546575661642936,-0.08332689642892241
ms__OPC,uniform,projected_gradients,0.5054678962771426,0.871898192751187
ms_xenium__Astrocyte,furthest_sum,frank_wolfe,-0.08437133430809138,-0.8120365066411679
ms_xenium__Astrocyte,furthest_sum,projected_gradients,0.36415790576863116,-0.5452600243947054
ms_xenium__Astrocyte,plus_plus,frank_wolfe,-0.0564773260460658,-0.3002771691059305
ms_xenium__Astrocyte,plus_plus,projected_gradients,-0.20738081076971454,-0.09257868544139541
ms_xenium__Astrocyte,uniform,frank_wolfe,-0.06975819341061316,1.0031889100634022
ms_xenium__Astrocyte,uniform,projected_gradients,0.053829758765991234,0.7469634755197976
ms_xenium__Endothelial,furthest_sum,frank_wolfe,-0.6873423290402734,-0.13261512234469425
ms_xenium__Endothelial,furthest_sum,projected_gradients,0.8794801134483151,0.609007549441585
ms_xenium__Endothelial,plus_plus,frank_wolfe,-0.6702621101345104,-1.091000856019003
ms_xenium__Endothelial,plus_plus,projected_gradients,0.8180518055307004,-0.7627523612018948
ms_xenium__Endothelial,uniform,frank_wolfe,-0.8621723510558912,0.5909311655293112
ms_xenium__Endothelial,uniform,projected_gradients,0.5222448712516072,0.7864296245946958
ms_xenium__Myeloid,furthest_sum,frank_wolfe,0.14039999453986038,-0.1415550383105112
ms_xenium__Myeloid,furthest_sum,projected_gradients,-0.7209249776282636,-0.13231814867381156
ms_xenium__Myeloid,plus_plus,frank_wolfe,0.13409727901803178,-0.33333674196531476
ms_xenium__Myeloid,plus_plus,projected_gradients,0.057272000835114946,-0.5298036620635901
ms_xenium__Myeloid,uniform,frank_wolfe,0.17115718362698198,0.9665054701879878
ms_xenium__Myeloid,uniform,projected_gradients,0.21799851960831,0.17050812082524067
ms_xenium__OPC,furthest_sum,frank_wolfe,0.08062896719652154,0.42793898672127917
ms_xenium__OPC,furthest_sum,projected_gradients,0.17347936866943087,-0.13587129327596012
ms_xenium__OPC,plus_plus,frank_wolfe,0.055131035047870466,-0.34376610074521785
ms_xenium__OPC,plus_plus,projected_gradients,-0.28267668545759345,-1.362026891442521
ms_xenium__OPC,uniform,frank_wolfe,0.034522372145244236,1.1764164521606013
ms_xenium__OPC,uniform,projected_gradients,-0.06108505760149487,0.23730884658181997
ms_xenium__Oligo,furthest_sum,frank_wolfe,-0.7865240426823444,-0.9312176877070305
ms_xenium__Oligo,furthest_sum,projected_gradients,0.7062656145983832,-0.1323243727694614
ms_xenium__Oligo,plus_plus,frank_wolfe,-0.9764502601109545,-0.7384903085186513
ms_xenium__Oligo,plus_plus,projected_gradients,0.9155731727394715,-0.20792457023052094
ms_xenium__Oligo,uniform,frank_wolfe,-0.9040708763070919,0.989168268993754
ms_xenium__Oligo,uniform,projected_gradients,1.0452063917624248,1.020788670231911
ms_xenium__Schwann,furthest_sum,frank_wolfe,-0.17473663564921854,-0.9535110280918728
ms_xenium__Schwann,furthest_sum,projected_gradients,0.8156098823939413,-0.33561129503086096
ms_xenium__Schwann,plus_plus,frank_wolfe,-0.4688509035015609,-0.36498456421625836
ms_xenium__Schwann,plus_plus,projected_gradients,0.3898109392519617,0.3397166259068884
ms_xenium__Schwann,uniform,frank_wolfe,-0.40369399632033814,0.5529766871077183
ms_xenium__Schwann,uniform,projected_gradients,-0.15813928617466327,0.7614135743243869
ms_xenium__T_cell,furthest_sum,frank_wolfe,-0.896761897527765,-0.06953880518603285
ms_xenium__T_cell,furthest_sum,projected_gradients,0.8186339795180236,0.8967257073032803
ms_xenium__T_cell,plus_plus,frank_wolfe,-0.8401679357756601,-1.5742632217446493
ms_xenium__T_cell,plus_plus,projected_gradients,1.0738880560091122,0.4402781644959844
ms_xenium__T_cell,uniform,frank_wolfe,-0.9842213261190038,0.0028379139829818314
ms_xenium__T_cell,uniform,projected_gradients,0.8286291238954169,0.3039602411484347
