X_pca_0,X_pca_1
-2.7126393,-2.995948
0.65815485,-2.4543853
3.420507,0.16337685
5.8225045,1.4689647
4.2282414,-3.539652
2.6060724,-0.07256008
3.6466787,2.17711
3.2984061,0.0024785253
-2.3536403,-2.4456148
4.075406,2.7773485
2.235458,-3.5707448
3.4089243,-3.3553836
-2.7836962,-0.4283501
-1.3372581,-0.45357287
3.5625777,0.77970994
0.7800834,-0.84846103
-2.7525475,-1.4624028
1.0054336,2.2643983
5.4242206,1.169203
-0.99530554,-2.206792
0.81765246,2.478714
-0.48673636,-3.0617406
0.86759496,-0.3794148
-1.8989311,-3.135656
1.2326367,-2.9383516
0.097168505,-2.3169181
2.1521811,-2.2351635
-1.490007,-3.488429
-0.54836667,-0.021041133
-2.4665158,-2.1352906
3.875875,-1.6059618
7.298635,-2.5289776
-0.9599355,0.05798133
4.134992,-1.7274026
0.93030465,5.823573
-0.95253634,0.70822406
5.1611514,-0.898396
1.1873131,-2.983639
1.7956485,2.6604357
2.5137756,2.7780697
0.07037831,-0.3162146
-0.09764791,1.3968698
-2.1131158,-2.7587025
3.025603,-0.9776439
4.020381,-4.210423
2.904861,-4.462764
3.5142736,0.4004069
-1.1684074,1.3923285
4.2106237,-1.9203057
-1.0017859,3.4561846
-2.4123995,-3.4431398
0.52364326,5.3795
-1.9619718,0.86234754
1.3796958,-2.9361665
5.1933928,3.1370099
3.6052735,-2.9885008
1.7661117,-1.2004906
0.900591,-2.1207433
4.843022,-2.573602
-1.0074797,0.514066
-1.9211724,-3.2322335
-1.0954354,0.75738573
0.48420307,-2.7517972
-1.7700455,-3.0271356
3.2878284,0.68647885
-1.6313168,-1.8027278
-1.2097178,0.43402886
-1.2014525,-3.1440854
2.35415,-1.994915
-0.5884295,1.1198856
-1.0906847,-3.2530377
4.305195,-0.70393497
0.1995196,4.0020876
4.0352726,2.7906437
0.60598415,-2.7303274
-2.3438852,1.9590248
2.1091244,-2.1128001
1.0957894,2.9158096
-4.1903377,0.65782636
6.9884667,0.81767887
-3.5281508,2.2046702
1.0134023,-3.5199094
-3.093418,-2.354063
1.9217503,0.6192459
-2.2946043,0.04487841
2.534609,0.18294768
4.239984,-0.74315494
3.1473036,4.681268
-0.8086106,-1.2018416
4.858246,2.2743037
2.0695844,-1.5288893
-2.1823988,-2.7945564
2.777368,-1.9863204
-2.7044683,-1.2123579
1.9816059,-3.9985564
-0.19456656,0.48705888
2.0539377,2.6587806
-1.6697003,-2.5711622
4.5280495,-2.2025282
7.5600934,-1.720849
-2.767281,-2.5043828
0.29579633,1.2144502
0.3965074,0.36612028
6.4068303,3.174503
4.199638,-3.6518626
1.3700845,2.42768
2.2529054,-1.9482416
0.4960548,2.9558191
4.375255,0.66775596
-2.6710837,-2.6743376
-2.0410638,-2.0043724
2.7650003,-1.407766
4.3900394,-2.5139015
4.897686,-2.1355035
4.2386346,-2.3552878
5.6280317,1.965556
5.471047,2.7159255
-1.9549171,-0.45035726
5.1231966,2.7406383
1.9612951,-0.3165674
2.193708,-2.174337
1.1435776,-1.7836281
3.8662407,-1.7520033
1.4465288,1.8639805
2.2238386,2.757696
-1.7201176,-1.9478712
3.6585407,4.281806
2.6979506,1.5356122
3.8460517,-0.92805016
4.277559,3.8088818
4.742973,-1.8734837
1.108845,-1.2762561
2.984418,3.3870797
-0.8056989,-1.103775
-0.68438154,-3.5796711
-1.061702,0.5982974
-1.0417765,1.9434729
4.2526555,-3.1263652
0.5195158,-2.8241625
5.395113,1.505355
-0.8207055,-1.6469908
1.7418622,2.1051545
0.09189586,-0.6364186
-0.013186327,-0.8618759
3.9567351,0.097403795
-1.5813537,-2.4617133
-0.8926899,-2.0000508
-2.3658645,-0.30783302
-0.91455173,0.081124984
3.0279372,-3.194138
-3.1175592,4.2294693
0.54813033,-2.6033096
1.4521937,-2.9376872
2.9674387,-2.7508416
-1.7549828,-0.9566335
7.412807,-1.6339236
-0.9615911,3.967403
1.1889089,5.451843
0.23614655,2.4753149
3.0021057,3.3646507
-2.1269548,1.6150304
-1.5115328,-3.506172
-1.9297473,-3.5441902
-0.47836244,-3.816494
-1.6030036,-2.3651848
-1.6557676,3.8172212
-3.9864697,2.6011255
7.680389,-2.221942
-1.4823118,2.6240823
-0.80236715,-1.1199409
-2.5894446,-1.3135328
-1.2673664,-0.4493611
-2.1640766,-2.465244
2.4261413,-2.8691125
2.5972006,-2.4166698
-1.9649248,-1.5143183
0.113708615,0.70728356
3.6261895,-3.542895
0.8263327,-1.9187135
-0.9961794,-0.20021917
0.60215545,-0.15061752
0.17942587,0.7582564
-1.6723891,-3.394944
-0.11554316,-0.8593271
0.8967543,-1.0750558
-0.093573615,4.241874
2.4971106,-1.0269495
-0.10811728,-1.3587201
1.8411378,-3.2186859
4.7407246,-2.2908173
4.1127043,-2.3542433
-3.5512002,-0.22451319
1.61932,1.1528355
2.594473,-0.77049035
2.096485,0.8171949
-2.5116107,-3.2202601
1.376394,1.0053868
4.0324645,-0.47052863
4.32793,3.6343775
3.1866317,-2.1362278
1.8643363,-1.4773933
4.844604,-1.5911834
-0.9779495,2.5241199
5.2521505,-1.6117929
1.8601719,-0.8245665
-0.60694325,-0.36471647
2.7707906,0.115206234
-1.2403553,2.915325
3.3568072,-1.4865825
-1.9638351,-1.1836538
-1.7643813,-0.1482802
2.0867321,0.47091985
-2.5566895,-2.5804627
-1.0604693,1.2749833
2.6892061,-1.3651564
3.0423625,-2.3988848
2.6030636,1.2998518
-0.7318974,1.3913195
-1.1557343,-2.094029
-3.2439444,-2.9110458
-1.6049838,-4.117793
4.5652847,-1.15616
4.1620045,1.9321134
0.6959361,-1.7269971
0.17964417,1.6171896
-2.3587835,-2.5634217
-2.0190625,-1.8102744
-1.7646134,3.4279401
-0.9048552,-2.9321034
3.8736422,-1.2327653
3.9511337,0.23488693
-2.6003728,-0.9612462
1.8096777,1.3846285
0.92990464,1.2089292
-1.618024,0.831681
5.24073,0.5707435
2.4704208,-2.8264074
-0.5622475,-2.3729484
3.9967306,-2.2536118
-2.1399033,0.4669283
-2.37905,1.8632026
-2.4269953,0.045796957
1.5474869,-1.5411966
-1.3502638,2.8258562
-0.01782273,-3.532269
-1.5554477,-3.999496
-3.0253139,-0.94552726
-3.5587132,-0.10503405
-1.9407164,-1.724392
-2.2374825,-1.2713988
4.8841214,0.5087575
5.739239,2.5760548
-0.8134372,1.0050442
5.0889673,-2.3544464
-3.0040975,-3.4853349
-1.3044943,1.1112988
3.4241223,4.318724
4.1594906,-1.546495
-2.303999,4.5523086
-2.549703,-2.6053433
-0.38518003,1.8923949
0.33097214,1.3667808
-3.2767255,1.0646858
1.0932469,0.06788497
3.574026,-2.9280899
-3.2011821,0.13675033
4.7113404,3.2549589
-2.4192579,1.8484541
2.8794203,3.1559699
0.5081784,-0.20566274
1.5775429,2.4852881
3.0997055,-0.51539516
6.31411,-0.91059
2.2478604,2.5500803
-2.9784384,-3.0338154
4.384805,1.7720761
-1.5207251,-2.8747928
-0.07628644,0.017318156
4.6903677,-0.40283382
4.6886134,0.7930037
0.8251764,-2.7073367
-1.2317853,-2.9643726
-2.5489454,-1.6329803
-0.78941864,-2.1006918
4.056881,0.88775384
2.8874855,1.0721958
-3.0878186,-2.8429232
0.5146062,3.9728813
2.1565678,-1.5219724
-2.4806614,0.4119844
3.819673,0.9192778
-0.656205,-2.931233
2.5267508,-3.0438306
-2.6949394,-0.5733427
4.232709,0.80428106
-2.2477345,1.6308769
2.56436,-1.5473098
-1.85589,-3.5355692
-2.342804,0.2439984
-2.3662221,-2.2838314
-2.5592365,-1.1456121
3.7006912,2.5412087
2.0868394,2.4870002
-3.0187087,-2.5010724
-0.8885315,-2.3789353
-2.7844477,-1.9775152
-1.150133,-2.4036067
-1.6858337,1.1409734
1.4470936,1.9791541
0.36468208,-2.1224015
1.5990995,-1.775218
6.312271,2.1852963
-0.03869475,0.9804811
5.0804787,0.09650999
-1.4015287,-2.0311985
-0.5122937,-2.6815784
6.1529417,3.5437133
3.707761,0.09511803
-1.3481786,3.5757608
0.029306855,4.964888
2.5099444,0.9097871
0.30980033,4.7554193
-1.6126091,-3.1825743
-2.5746367,-0.35022926
-2.3274093,0.069702655
0.6340756,-1.9495553
-1.7283549,-0.3220996
2.1775806,0.40703225
-1.5401499,3.027438
5.2836123,-3.599174
2.9314938,2.3829217
-2.035664,-3.1090105
2.8263338,-0.6267908
0.82467926,-2.9454737
-3.204641,-1.5092887
-1.4282197,-2.847411
2.135285,-1.0694908
6.8881564,-1.3952643
2.9495707,-0.11867246
