disease,donor_id,archetype_max_weight,count,total_cells,fraction
NF,P1718,2,478,2688,0.17782738095238096
NF,P1516,2,284,1838,0.15451577801958652
NF,P1610,2,236,2689,0.08776496838973596
NF,P1515,2,191,3869,0.04936676143706384
NF,P1561,2,153,3355,0.04560357675111774
NF,P1622,2,146,2146,0.06803355079217148
NF,P1603,2,130,2945,0.044142614601018676
NF,P1540,2,125,1440,0.08680555555555555
NF,P1547,2,119,1315,0.09049429657794676
NF,P1582,2,117,2888,0.04051246537396122
NF,P1549,2,106,3367,0.031482031482031485
NF,P1539,2,98,2815,0.034813499111900535
NF,P1558,2,94,2321,0.040499784575613956
NF,P1600,2,46,1684,0.027315914489311165
NF,P1678,2,41,1526,0.026867627785058978
NF,P1702,2,27,1333,0.020255063765941484
