k,n_archetypes,n_restarts,seed,varexpl,IC,RSS
2,2,5,42,0.5053886771202087,3999.4705722587523,2966.18359375
3,3,5,42,0.7803686261177063,4031.7921290226386,1317.129150390625
4,4,5,42,0.9337181448936462,4350.17109752944,397.4920654296875
5,5,5,42,0.968794584274292,5018.088697669067,187.13893127441406
6,6,5,42,0.9869803786277771,5595.782319381605,78.07906341552734
7,7,5,42,0.9902488589286804,6455.393444035139,58.47736740112305
8,8,5,42,0.9923050999641418,7322.744557927923,46.145992279052734
