X_pca_harmony_0,X_pca_harmony_1,disease
1.391453,-0.68275225,NF
2.9294806,0.076558135,NF
2.2814963,-2.1252913,NF
1.0413841,-3.048121,NF
2.6204019,-1.5158093,NF
1.8298606,-1.5815485,NF
1.2370281,1.4942299,NF
3.0943763,-1.7304344,NF
2.8175204,-0.1630479,NF
1.0668863,-1.2388868,NF
1.1651356,0.93561167,NF
1.1590098,-0.864373,NF
2.0968351,0.8308104,NF
1.2052364,0.1698328,NF
1.1990108,-1.1943156,NF
2.4683988,-0.22985375,NF
2.5286255,-0.32706076,NF
1.9197776,-1.8757031,NF
1.3772879,0.52786404,NF
1.1288731,-2.4368317,NF
2.1066358,-2.598753,NF
2.1874807,0.8714359,NF
0.86654973,0.018126823,NF
2.0499806,-1.8911722,NF
2.566878,0.8684666,NF
2.7085311,-1.7803931,NF
0.65392643,0.7112966,NF
3.0137813,-0.77681327,NF
0.9393132,-0.61942494,NF
2.625221,0.058028847,NF
-1.7655352,-2.057606,NF
2.8036296,-1.1088724,NF
2.0858254,2.8963583,NF
1.1897104,2.2812507,NF
-0.38842282,-1.3344592,NF
-1.455444,1.0214273,NF
-0.31176555,1.3870827,NF
2.4145603,0.47598207,NF
1.3123804,-0.09282908,NF
2.5734022,-0.75532186,NF
-0.27991346,2.0261931,NF
1.1382442,-0.64419526,NF
0.7338596,0.7395436,NF
1.6287161,-0.36713842,NF
3.1371891,-1.9051211,NF
0.7628017,-0.1998964,NF
2.6952353,-2.1750965,NF
2.1285965,1.1467565,NF
1.3377364,0.6205031,NF
2.1875062,0.5394078,NF
1.5671108,0.47845927,NF
0.7538293,-1.1034241,NF
1.0751697,-2.439949,NF
0.4920736,1.1962328,NF
-2.5529912,-1.98743,NF
1.4806256,2.558826,NF
1.4766568,-2.6886485,NF
2.0470214,1.7450478,NF
2.5377207,-0.15150791,NF
1.7304623,1.2853347,NF
2.0576668,-0.6973629,NF
0.008771999,1.8930913,NF
0.17325692,-2.5760934,NF
2.6118388,-0.8226319,NF
1.9830828,-1.9543825,NF
2.1340723,-0.6181119,NF
1.3900602,-0.41101393,NF
1.448297,-0.53930366,NF
2.7080817,1.0651058,NF
0.18210414,1.1484896,NF
1.3001335,-1.65061,NF
2.0953681,-0.9833789,NF
1.580103,-0.26500547,NF
0.15285146,-1.6728255,NF
1.023764,0.9323934,NF
3.6086426,-1.1443169,NF
0.6159458,1.0771748,NF
0.4417095,-1.2043059,NF
2.1523356,1.1218475,NF
2.110853,-0.6438526,NF
1.3367798,-1.4825075,NF
-0.89967537,-1.2560117,NF
1.7989557,-0.85192436,NF
-0.31697363,0.3319413,NF
0.8670395,0.12722343,NF
0.8726324,0.65154403,NF
1.4752846,-1.0697253,NF
0.7449259,0.031031238,NF
2.3905559,-1.732108,NF
1.6164855,0.09654796,NF
0.9236455,1.5924332,NF
1.6031221,0.5012073,NF
-0.4975362,0.093427084,NF
0.8396422,-2.4743474,NF
1.7741503,-0.8415926,NF
0.63570535,0.56421953,NF
2.4102051,1.6969001,NF
1.6729491,0.08034475,NF
0.8460528,0.71862173,NF
2.028543,2.1256506,NF
1.500287,0.26560244,NF
2.2080555,0.111252725,NF
1.8506894,0.06953027,NF
1.920048,-0.8597893,NF
-0.63837737,-1.1364049,NF
3.4142106,-1.0542986,NF
1.5538918,0.49141672,NF
0.07734349,1.0840262,NF
1.6749306,1.3690203,NF
1.6435515,-2.3567379,NF
1.7344376,-1.6072172,NF
3.1774948,-0.6601808,NF
0.96136713,0.78609717,NF
1.2007209,-1.6013516,NF
1.3595455,-1.6897448,NF
-0.15665591,-2.7679207,NF
0.5126806,0.4490433,NF
1.9217302,-1.5967098,NF
0.06970225,-0.03623432,NF
0.79289454,0.23386689,NF
2.1641173,-2.2802536,NF
1.3146826,0.3661829,NF
0.24609047,0.683189,NF
1.5749164,-1.0026052,NF
2.548763,-0.39916095,NF
0.92192173,1.3614187,NF
2.2220247,-1.0589633,NF
2.3083472,0.7610957,NF
1.1449944,0.5875841,NF
1.5561658,0.019792208,NF
2.7436066,-0.39532804,NF
0.9705256,-1.1569563,NF
1.9010309,1.521183,NF
1.4525723,0.34267786,NF
1.2534767,2.3500524,NF
2.5018885,1.4215331,NF
1.2191738,-1.6431242,NF
2.8125734,-1.3780781,NF
2.596761,-0.845748,NF
3.2165623,0.15600199,NF
1.7959787,-3.2708235,NF
-0.7235173,1.1241038,NF
1.9198896,-0.75104296,NF
1.1874516,-0.2767031,NF
-0.33806852,-1.4816579,NF
2.7912333,-2.4520297,NF
-0.45951742,-1.8646194,NF
2.679,0.48865253,NF
0.021605654,0.5283188,NF
2.0764148,0.8799518,NF
2.1145186,1.1065468,NF
2.9718578,-0.75342685,NF
1.6004755,-0.21431716,NF
2.3446991,-1.3778739,NF
1.4590175,0.9844024,NF
2.3072083,0.8827265,NF
1.579169,2.1644042,NF
2.4137092,-1.4643645,NF
1.5714072,-0.6612732,NF
0.9016575,-0.23127076,NF
2.1089911,0.075906254,NF
1.9493954,-1.5113912,NF
2.3340049,-0.1700266,NF
1.680171,-1.1437186,NF
2.7361598,0.011179595,NF
2.0744567,-2.5305028,NF
1.2627544,2.0333712,NF
2.5310013,-1.3287472,NF
0.5510959,0.041808452,NF
3.0412955,0.81963724,NF
2.077572,-1.6821561,NF
3.1308436,-0.17667973,NF
1.5679969,-1.2980353,NF
0.83123916,0.6835605,NF
0.9652815,-0.95385915,NF
0.71432954,2.8535779,NF
1.435874,-1.3282429,NF
1.9237505,-0.5997616,NF
1.472254,1.28242,NF
1.0566212,-0.3719372,NF
2.0503178,-0.2251693,NF
0.99641645,-0.038142487,NF
2.7226765,-0.24205081,NF
-0.46846145,0.608807,NF
1.9430845,-0.079373606,NF
0.9913377,-0.9780527,NF
2.213166,0.4300858,NF
2.1790416,-2.0455968,NF
0.68337005,-0.62502337,NF
1.022053,-1.4237942,NF
1.5863584,-2.9278255,NF
0.36086744,-0.08503316,NF
-0.31371462,-2.702101,NF
-0.40213948,-1.2375182,NF
2.3496032,-0.67642707,NF
2.0578072,-0.3253056,NF
0.3070645,-2.1365292,NF
1.5442656,1.3753337,NF
1.1365812,-0.34324017,NF
0.8603368,-1.0128714,NF
1.1575639,1.7954482,NF
1.9741421,-1.0823572,NF
2.7098646,0.96284366,NF
1.6964293,0.28356475,NF
1.8730674,-1.3616053,NF
1.4357386,-0.01861452,NF
3.2333643,-1.4434521,NF
0.6526952,-0.29759023,NF
0.8414375,-0.08544308,NF
2.7617426,-0.6657197,NF
-0.091461115,0.930476,NF
2.2832024,0.70245826,NF
0.76910436,1.1782517,NF
0.93887544,1.953336,NF
2.781925,1.1949471,NF
0.80577844,-2.775073,NF
2.9902682,-0.80385387,NF
1.1214101,-1.0106504,NF
2.729606,-0.2237101,NF
2.0008914,-0.48523116,NF
-1.8307251,-2.2851863,NF
1.1431116,0.18178128,NF
