celltype,time,l2_distance,mahalanobis_to_bootstrap_mean,scaled_euclid_to_bootstrap_mean,mahalanobis_bootstrap_percentile,scaled_euclid_bootstrap_percentile,mean_gex_corr,rss,varexpl,mean_rel_l2_distance,seed,coreset_fraction,n_samples,n_dimensions,n_archetypes,dataset
MG,5.915484189987183,0.3979806005954742,1.477701374209608,1.3693281809488933,3.0,15.833333333333334,0.9992227686030004,115890.0859375,0.6852994561195374,0.0296474447917575,383329927,1.0,9239,10,6,ms
MG,3.514582395553589,0.5819980502128601,1.3014372883708958,1.343653440475464,1.3333333333333333,17.666666666666668,0.9977813662238793,116323.859375,0.6841215491294861,0.0433557682378083,3324115916,1.0,9239,10,6,ms
MG,3.298884630203247,1.0986857414245603,2.1415352236925576,2.182058314482371,29.166666666666668,55.5,0.993764113160379,116992.9765625,0.6823045611381531,0.0818462516352407,2811363264,1.0,9239,10,6,ms
MG,3.860807657241821,1.1735652685165403,2.410460740639264,1.9618733525276184,41.16666666666666,45.833333333333336,0.9908439168234648,116537.0390625,0.6835426688194275,0.0874243894660352,1884968544,1.0,9239,10,6,ms
MG,4.165529012680054,0.5660586953163147,1.7572602856172808,1.7003096640110016,11.333333333333334,30.166666666666668,0.9991185794248516,116339.6171875,0.6840787529945374,0.0421683701294961,1859786275,1.0,9239,10,6,ms
MG,4.592363119125366,0.6612638831138611,1.6159990220220477,1.5781441529591878,5.166666666666667,29.166666666666668,0.9966990411827982,116030.171875,0.6849190592765808,0.0492606522178427,3687649985,1.0,9239,10,6,ms
MG,2.2860002517700195,0.6356117129325867,1.753324737025389,1.5287808974583943,9.666666666666666,24.33333333333333,0.997772654499476,116069.3671875,0.684812605381012,0.0473496953550844,369133708,1.0,9239,10,6,ms
MG,3.313645601272583,1.285329818725586,2.494994283488116,2.1635511914889016,46.5,55.833333333333336,0.9875489172699012,116384.609375,0.6839565634727478,0.0957502554528266,2995172877,1.0,9239,10,6,ms
MG,3.4164702892303467,0.6909687519073486,1.90537471093336,1.7683963179588318,16.166666666666668,41.0,0.9971115101172372,116167.390625,0.6845464110374451,0.0514735099240865,865305066,1.0,9239,10,6,ms
MG,2.6288187503814697,0.3531635701656341,1.694613541479347,1.3060730795065565,7.166666666666667,10.833333333333334,0.999560030977364,115953.65625,0.6851268410682678,0.0263088117812053,404488628,1.0,9239,10,6,ms
MG,2.5217902660369877,0.5536357164382935,1.8616500717724247,1.7485967377821603,15.333333333333334,32.166666666666664,0.9992832561367814,116405.453125,0.683899998664856,0.0412429230072488,2261209995,1.0,9239,10,6,ms
MG,2.7879250049591064,0.2883875370025635,1.6616679944410404,1.3054356674353282,7.166666666666667,10.166666666666666,0.9997156712604212,115914.9375,0.6852319836616516,0.0214833410012224,4190266092,1.0,9239,10,6,ms
MG,2.5002763271331787,0.3115057349205017,1.5535643640219905,1.4009447892506917,6.333333333333333,17.0,0.9997589593433536,116126.9921875,0.6846561431884766,0.0232055250099123,3160032368,1.0,9239,10,6,ms
MG,3.6600341796875,0.3134688436985016,1.7217081013486888,1.610435465971629,8.833333333333334,27.166666666666668,0.9995700501362051,116252.484375,0.6843153834342957,0.0233517649028834,3269070126,1.0,9239,10,6,ms
MG,4.553669214248657,0.4189683496952057,1.7473343016839114,1.6369344691435497,10.833333333333334,28.33333333333333,0.9989693258615664,116137.4140625,0.684627890586853,0.031210919817196,3081541439,1.0,9239,10,6,ms
MG,5.094264984130859,0.3745915591716766,1.2800517121288977,1.46151664853096,0.6666666666666666,19.33333333333333,0.9995015695319228,116398.4375,0.6839190125465393,0.0279050816037873,3376120482,1.0,9239,10,6,ms
MG,3.125248432159424,0.8531169891357422,1.532607268801079,1.304744044939677,5.5,13.166666666666666,0.9964545115707812,116291.53125,0.6842093467712402,0.0635526910463908,2204291346,1.0,9239,10,6,ms
MG,3.339205503463745,0.7207863926887512,2.323591181985889,2.066450238227844,35.166666666666664,45.0,0.998634554916094,116721.609375,0.6830414533615112,0.0536947637348321,550243861,1.0,9239,10,6,ms
MG,4.227081775665283,0.496467113494873,1.813679523686825,1.6801181038220725,13.0,33.5,0.9986584197749312,116116.34375,0.6846850514411926,0.0369841672649887,3606691181,1.0,9239,10,6,ms
MG,5.93307375907898,1.1683887243270874,2.2715787207795435,2.0693999528884888,30.83333333333333,50.0,0.9921777012379648,116469.8515625,0.683725118637085,0.0870387569894051,1934392872,1.0,9239,10,6,ms
MG,3.0422513484954834,0.6267439317848086,1.7974807220839493,1.3521464343318546,13.666666666666666,13.5,0.9984848598169472,116177.3459837624,0.6845194048996266,0.0466890975207694,383329927,0.64,9239,10,6,ms
MG,3.0556156635284424,0.4176240082554065,2.5736938287610145,1.7656032429305848,44.333333333333336,33.166666666666664,0.9995513433935252,116428.58463747017,0.6838371641468122,0.0311107727727407,3324115916,0.64,9239,10,6,ms
MG,2.179940938949585,0.9463094200029832,2.7088035302741376,1.8873172639059448,49.833333333333336,41.16666666666666,0.995634485535851,116707.46121352568,0.683079872375094,0.0704950308326431,2811363264,0.64,9239,10,6,ms
MG,1.973229169845581,0.8303416814698837,2.4684176230255908,1.7445212231320273,46.16666666666666,34.833333333333336,0.9978915536693757,117001.9634000684,0.6822801491219751,0.0618560496171153,1884968544,0.64,9239,10,6,ms
MG,5.499654531478882,0.681941186042931,2.130167912391581,1.9616061425399736,27.5,43.833333333333336,0.9980811604825596,116571.20090829705,0.6834498884209771,0.050801000095713,1859786275,0.64,9239,10,6,ms
MG,2.959164619445801,0.8139975577893633,2.477700297306536,1.5260555757368657,44.0,24.33333333333333,0.997386175137732,116384.43658153454,0.6839570485773021,0.0606384991220699,3687649985,0.64,9239,10,6,ms
MG,2.165468454360962,0.8355435097272168,2.7509056667928995,1.98690245514354,50.66666666666666,46.333333333333336,0.997733811372768,116719.93470966036,0.6830460004876773,0.0622435582222666,369133708,0.64,9239,10,6,ms
MG,3.699209451675415,0.5111899309007785,2.3730424272385497,1.410456637823481,36.0,19.0,0.9994796706937492,116467.20308842114,0.6837322954068293,0.0380809375648754,2995172877,0.64,9239,10,6,ms
MG,3.369746446609497,0.760894069262013,2.5158910008088764,1.893370439863687,44.333333333333336,43.5,0.99800932557079,116179.74103035063,0.6845129011297517,0.0566825709849024,865305066,0.64,9239,10,6,ms
