archetype,gene,log1p,raw,z_scaled,rank
arch_2,POSTN,0.6622038,3.1393259,0.6785464,1
arch_2,FGF14,1.0706575,3.7755048,0.614485,2
arch_2,THBS4,0.5935671,1.946398,0.56988835,3
arch_2,FAM155A,0.39665055,1.3517536,0.5069958,4
arch_2,PALLD,0.4324948,2.3361862,0.4376911,5
arch_2,KALRN,0.3842454,1.0095999,0.40399474,6
arch_2,LDLRAD4,0.5416122,1.2621919,0.39710253,7
arch_2,UACA,0.6311979,1.5334296,0.36741248,8
arch_2,LTBP2,0.6504105,1.7205584,0.35744342,9
arch_2,PLXDC2,1.4484433,5.687586,0.3557717,10
arch_2,NOX4,0.7593787,2.3673794,0.30771363,11
arch_2,FN1,0.7987599,3.1409936,0.29861844,12
arch_2,COL12A1,0.54979396,1.3497434,0.2917686,13
arch_2,MIR100HG,0.64651275,1.5922732,0.29126707,14
arch_2,AFF3,0.7030312,1.8697517,0.28117043,15
arch_2,TSHZ2,0.8137876,2.4608827,0.2782422,16
arch_2,MEF2A,0.38603115,1.0188093,0.27704737,17
arch_2,MYO1D,0.58845985,1.4174857,0.2736769,18
arch_2,COL1A2,0.68739265,1.7488502,0.2668833,19
arch_2,AL590807.1,0.757457,2.3512194,0.25538012,20
arch_2,SGIP1,0.60445786,1.4512208,0.23808962,21
arch_2,AL445250.1,0.6421431,1.6874543,0.23471881,22
arch_2,AGAP1,0.7215171,1.8006443,0.2340951,23
arch_2,DLC1,0.9716719,2.9167395,0.23148996,24
arch_2,COL3A1,0.6027818,1.6499066,0.2174968,25
arch_2,EPHA3,0.68625087,1.7233549,0.21561193,26
arch_2,SLC8A1,0.11545509,2.080189,0.18577047,27
arch_2,JMJD1C,0.95916766,2.5748634,0.16039732,28
arch_2,ZEB1,1.087539,3.335522,0.16013794,29
arch_2,PPFIBP1,0.5446812,1.1758338,0.15700968,30
arch_2,TCF4,1.0109993,2.7594607,0.1562696,31
arch_2,PDE5A,0.5013278,1.1444935,0.15187751,32
arch_2,TRIO,0.51374686,1.1738443,0.14923382,33
arch_2,MACF1,0.6210354,1.3996927,0.14760906,34
arch_2,PEAK1,0.53000396,1.1929036,0.13968918,35
arch_2,CCDC80,0.5498158,1.350453,0.13766238,36
arch_2,AC011246.1,0.9904827,3.3126476,0.13604723,37
arch_2,GAB2,0.48169297,1.0745019,0.1348426,38
arch_2,VCAN,0.47360206,1.1545067,0.13341632,39
arch_2,LHFPL6,1.1638737,3.997565,0.13232207,40
arch_2,ABI3BP,0.65038276,1.6673932,0.1299759,41
arch_2,COL8A1,0.7813473,2.2898772,0.124882154,42
arch_2,PHLDB1,0.47723758,1.0247867,0.120639026,43
arch_2,SOX6,0.711891,1.8919599,0.11955437,44
arch_2,FOXP1,0.5964204,1.4057995,0.11466449,45
arch_2,RIN2,0.5504972,1.2276613,0.11426375,46
arch_2,AOPEP,0.45215052,1.1305608,0.105839655,47
arch_2,CHD9,0.924098,2.4121606,0.104265764,48
arch_2,EXT1,0.8102519,2.2811413,0.10408345,49
arch_2,TRPS1,0.7498638,1.8424858,0.1024639,50
