archetype,TF,t_value,p_value
2,TWIST1,6.1371005123659845,2.920598007867806e-07
2,MYF5,5.751189586458955,2.0450941395271515e-06
2,BHLHA15,5.312128786490499,1.8686544987371875e-05
2,SCX,4.733802679799931,0.0003029320796444497
2,SRF,4.503994208503332,0.0007631549658722304
2,MKX,4.439237720828169,0.0008248196487819371
2,KAT6A,4.425688807552372,0.0008248196487819371
2,SALL4,3.9616837287409172,0.0034724440168126054
2,TCF21,3.9566262573485362,0.0034724440168126054
2,FOSL1,3.895482760748874,0.004196274178764543
2,PIN1,3.8621768245292913,0.00449363657839971
2,PRRX1,3.836801623958329,0.00449363657839971
2,KDM2A,3.818487182652344,0.0045983752337661506
2,CTNNB1,3.7735929827974126,0.005009135234324346
2,MEF2A,3.7135587332264137,0.005597468718807877
