gene,variable,value
AL627309.1,arch_0,-0.021044297
AL627309.5,arch_0,-0.018581042
AP006222.2,arch_0,-0.019058518
LINC01409,arch_0,0.029218031
FAM87B,arch_0,-0.019810526
LINC01128,arch_0,-0.0066704326
LINC00115,arch_0,-0.026546516
AL645608.6,arch_0,-0.021419885
LINC02593,arch_0,-0.0022231988
SAMD11,arch_0,0.035872906
NOC2L,arch_0,-0.0150879165
KLHL17,arch_0,-0.02478735
AL645608.7,arch_0,-0.011827469
HES4,arch_0,0.014465722
ISG15,arch_0,-0.00943622
AGRN,arch_0,-0.017112153
C1orf159,arch_0,-0.0060175704
AL390719.3,arch_0,-0.024283476
SDF4,arch_0,-0.010563472
B3GALT6,arch_0,-0.022916865
UBE2J2,arch_0,-0.004626935
LINC01786,arch_0,-0.012621236
SCNN1D,arch_0,-0.017977472
ACAP3,arch_0,0.020175254
PUSL1,arch_0,-0.022503944
INTS11,arch_0,0.0020181898
DVL1,arch_0,-0.019003134
MXRA8,arch_0,0.05407742
AURKAIP1,arch_0,-0.015273606
CCNL2,arch_0,-0.017418265
MRPL20-AS1,arch_0,-0.020797983
MRPL20,arch_0,-0.011979457
AL391244.2,arch_0,-0.026050983
ANKRD65,arch_0,-0.020662628
VWA1,arch_0,-0.009519093
ATAD3C,arch_0,-0.020354372
ATAD3B,arch_0,0.0053008664
ATAD3A,arch_0,-0.0017046542
TMEM240,arch_0,-0.020942755
SSU72,arch_0,-0.0062639248
AL645728.1,arch_0,-0.021862157
AL691432.2,arch_0,-0.022100436
MIB2,arch_0,0.012649975
MMP23B,arch_0,0.017392471
CDK11B,arch_0,-0.0009812524
FO704657.1,arch_0,-0.021278871
SLC35E2B,arch_0,-0.0010874977
CDK11A,arch_0,-0.011467922
SLC35E2A,arch_0,-0.008008345
NADK,arch_0,-0.05520319
GNB1,arch_0,0.02879836
CFAP74,arch_0,-0.021821272
PRKCZ,arch_0,-0.018770134
FAAP20,arch_0,-0.0061475933
AL590822.1,arch_0,-0.013669742
SKI,arch_0,0.024822233
AL590822.3,arch_0,-0.017571623
MORN1,arch_0,-0.009437346
RER1,arch_0,0.002316099
PEX10,arch_0,0.0085348375
PANK4,arch_0,-0.02274595
TNFRSF14-AS1,arch_0,-0.019337801
TNFRSF14,arch_0,-0.003774932
TTC34,arch_0,-0.021028886
PRDM16,arch_0,-0.016670972
MEGF6,arch_0,0.0068193404
AL513320.1,arch_0,-0.023063488
TPRG1L,arch_0,-0.02487705
WRAP73,arch_0,-0.011592766
TP73,arch_0,-0.021099685
CCDC27,arch_0,-0.018295163
LRRC47,arch_0,-0.014017906
CEP104,arch_0,0.002010001
DFFB,arch_0,-0.0047101206
C1orf174,arch_0,0.0009202466
LINC01134,arch_0,-0.023255521
AJAP1,arch_0,-0.0137540875
AL365255.1,arch_0,-0.020206608
NPHP4,arch_0,-0.0097097
KCNAB2,arch_0,0.0027245341
CHD5,arch_0,-0.019067852
RPL22,arch_0,-0.020139387
RNF207,arch_0,-0.023786727
ICMT,arch_0,-0.019465018
GPR153,arch_0,0.021360006
ACOT7,arch_0,0.023179408
ESPN,arch_0,-0.016755503
TNFRSF25,arch_0,-0.0051778974
PLEKHG5,arch_0,0.036966704
NOL9,arch_0,-0.012502788
TAS1R1,arch_0,-0.020248506
ZBTB48,arch_0,-0.011912096
KLHL21,arch_0,0.0013473812
PHF13,arch_0,-0.0050923955
THAP3,arch_0,-0.010309777
DNAJC11,arch_0,-0.0059011094
CAMTA1-DT,arch_0,-0.02029717
CAMTA1,arch_0,0.022944111
VAMP3,arch_0,0.0032040793
PER3,arch_0,-0.005066846
Z98884.1,arch_0,-0.014486532
UTS2,arch_0,-0.022784092
PARK7,arch_0,-0.017064882
AL034417.4,arch_0,-0.033654347
AL034417.3,arch_0,-0.028617216
ERRFI1,arch_0,-0.09889643
AL034417.2,arch_0,-0.0090257
SLC45A1,arch_0,-0.035925075
RERE,arch_0,-0.03657119
RERE-AS1,arch_0,-0.016249878
ENO1,arch_0,-0.022496516
CA6,arch_0,-0.018113788
SLC2A5,arch_0,-0.026968336
GPR157,arch_0,0.00010108181
MIR34AHG,arch_0,0.025365677
LNCTAM34A,arch_0,-0.017573403
H6PD,arch_0,-0.03430991
SPSB1,arch_0,-0.089566745
LINC02606,arch_0,-0.020683587
SLC25A33,arch_0,-0.027362214
TMEM201,arch_0,-0.016437018
PIK3CD,arch_0,-0.012072371
PIK3CD-AS2,arch_0,-0.024709597
CLSTN1,arch_0,0.0011590656
CTNNBIP1,arch_0,0.04024125
AL357140.4,arch_0,-0.022856146
LZIC,arch_0,0.011385232
NMNAT1,arch_0,0.0036057588
RBP7,arch_0,-0.015520367
UBE4B,arch_0,-0.01858091
KIF1B,arch_0,0.050500646
AL139424.3,arch_0,-0.025647726
AL139424.2,arch_0,-0.024595343
PGD,arch_0,-0.096201055
CENPS,arch_0,-0.011845075
DFFA,arch_0,-0.006120537
PEX14,arch_0,-0.006835315
AL139423.2,arch_0,-0.02473281
C1orf127,arch_0,-0.020390572
TARDBP,arch_0,-0.020693054
MASP2,arch_0,-0.020092022
AL109811.2,arch_0,-0.017301686
SRM,arch_0,-0.015204483
EXOSC10,arch_0,0.0040244116
AL109811.1,arch_0,-0.010389674
MTOR,arch_0,-0.010591516
MTOR-AS1,arch_0,-0.023068544
ANGPTL7,arch_0,-0.026795225
UBIAD1,arch_0,-0.010842401
AL031291.1,arch_0,-0.01796186
AL031731.1,arch_0,-0.020313833
FBXO2,arch_0,-0.025391733
FBXO44,arch_0,-0.026403813
FBXO6,arch_0,-0.0150346365
MAD2L2,arch_0,-0.022927087
DRAXIN,arch_0,-0.019785572
AGTRAP,arch_0,-0.008354976
C1orf167,arch_0,-0.02940467
MTHFR,arch_0,-0.039193552
CLCN6,arch_0,-0.005828089
AL021155.5,arch_0,-0.021119429
KIAA2013,arch_0,0.0071754344
PLOD1,arch_0,-0.04197713
MFN2,arch_0,-0.020273646
MIIP,arch_0,-0.013654738
TNFRSF8,arch_0,-0.015417251
TNFRSF1B,arch_0,-0.019933987
VPS13D,arch_0,-0.013432686
DHRS3,arch_0,-0.060220964
LRRC38,arch_0,-0.018464562
PDPN,arch_0,-0.05064537
PRDM2,arch_0,-0.084844664
KAZN,arch_0,-0.42982602
AL357873.1,arch_0,-0.23929887
KAZN-AS1,arch_0,-0.21208923
AL031293.1,arch_0,-0.07396361
TMEM51-AS1,arch_0,-0.030243468
TMEM51,arch_0,-0.034885727
C1orf195,arch_0,-0.026663203
FHAD1,arch_0,-0.019157076
EFHD2,arch_0,-0.021708978
CELA2B,arch_0,-0.027681783
CASP9,arch_0,-0.014330367
DNAJC16,arch_0,-0.0078399
AGMAT,arch_0,-0.02462399
AL121992.1,arch_0,-0.02033928
DDI2,arch_0,-0.03249557
PLEKHM2,arch_0,0.0013997309
AL450998.3,arch_0,-0.014674634
SLC25A34,arch_0,-0.008647459
SLC25A34-AS1,arch_0,-0.01919753
FBLIM1,arch_0,-0.03427612
AL450998.2,arch_0,-0.003462585
SPEN,arch_0,-0.007899244
ZBTB17,arch_0,-0.0010780464
EPHA2,arch_0,0.008558908
AL451042.1,arch_0,-0.0041481303
ARHGEF19,arch_0,-0.032103706
CPLANE2,arch_0,-0.020286143
FBXO42,arch_0,-0.068982586
SZRD1,arch_0,-0.021102302
SPATA21,arch_0,-0.021664795
NECAP2,arch_0,0.009568967
LINC01772,arch_0,0.00038866902
NBPF1,arch_0,0.05012573
CROCC,arch_0,0.013769721
BX284668.5,arch_0,-0.023479804
MFAP2,arch_0,-0.008767331
AL049569.1,arch_0,0.012164706
ATP13A2,arch_0,0.023585143
SDHB,arch_0,-0.0026131808
PADI2,arch_0,-0.021371352
PADI4,arch_0,-0.019809062
RCC2,arch_0,0.014752076
ARHGEF10L,arch_0,0.025333954
ACTL8,arch_0,-0.017756745
IGSF21,arch_0,-0.018380482
PAX7,arch_0,-0.01910805
ALDH4A1,arch_0,-0.02668813
IFFO2,arch_0,0.01668552
UBR4,arch_0,0.0027011721
EMC1-AS1,arch_0,-0.005091511
EMC1,arch_0,-0.012708692
MRTO4,arch_0,-0.024325445
AKR7A3,arch_0,-0.017448185
AKR7A2,arch_0,0.00024620426
SLC66A1,arch_0,-0.010343218
CAPZB,arch_0,-0.0037459468
MICOS10,arch_0,0.007229122
NBL1,arch_0,0.03233389
HTR6,arch_0,-0.018565675
TMCO4,arch_0,-0.0033689053
OTUD3,arch_0,-0.009913251
PLA2G2A,arch_0,-0.17293115
PLA2G5,arch_0,-0.36372086
VWA5B1,arch_0,-0.019544069
CAMK2N1,arch_0,-0.025011532
MUL1,arch_0,-0.015641933
FAM43B,arch_0,0.039107345
CDA,arch_0,-0.0121478
PINK1,arch_0,0.034907315
PINK1-AS,arch_0,0.0023136178
DDOST,arch_0,-0.0020298657
KIF17,arch_0,-0.019900369
HP1BP3,arch_0,0.0082256375
EIF4G3,arch_0,-0.018366003
ECE1,arch_0,-0.13230637
AL031005.1,arch_0,-0.021248048
AL031728.1,arch_0,-0.0383292
NBPF3,arch_0,0.010234665
ALPL,arch_0,-0.032620274
RAP1GAP,arch_0,-0.021636287
USP48,arch_0,0.021816347
LDLRAD2,arch_0,0.0006339917
HSPG2,arch_0,0.052841995
CELA3B,arch_0,-0.017641066
CDC42,arch_0,0.015352222
CDC42-AS1,arch_0,-0.0120130265
WNT4,arch_0,-0.02190887
ZBTB40,arch_0,-0.0069927666
EPHB2,arch_0,-5.6512996e-05
TEX46,arch_0,-0.021641858
KDM1A,arch_0,-0.004766021
AL031428.1,arch_0,-0.013382863
LUZP1,arch_0,0.0645192
LINC01355,arch_0,-0.0064190947
AL109936.6,arch_0,-0.021879628
HNRNPR,arch_0,-0.017864704
ZNF436,arch_0,-0.008759896
ZNF436-AS1,arch_0,-0.023932915
TCEA3,arch_0,-0.002544289
ASAP3,arch_0,-0.087415196
E2F2,arch_0,-0.02023153
ID3,arch_0,0.012728309
MDS2,arch_0,-0.023204425
RPL11,arch_0,-0.017595975
ELOA-AS1,arch_0,0.0013113392
ELOA,arch_0,-0.0061457804
PITHD1,arch_0,-0.012125122
LYPLA2,arch_0,-0.01060239
GALE,arch_0,-0.01418804
HMGCL,arch_0,0.0058730873
FUCA1,arch_0,-0.011700541
CNR2,arch_0,-0.02030474
PNRC2,arch_0,-0.024354625
SRSF10,arch_0,0.005823872
GRHL3,arch_0,-0.020644743
STPG1,arch_0,-0.025235329
NIPAL3,arch_0,-0.018180987
RCAN3AS,arch_0,-0.02630889
RCAN3,arch_0,-0.015762623
NCMAP-DT,arch_0,-0.017330328
NCMAP,arch_0,-0.020324409
SRRM1,arch_0,-0.012249545
CLIC4,arch_0,0.0061107962
SYF2,arch_0,-0.028898176
AL031432.4,arch_0,-0.013407423
RSRP1,arch_0,-0.029746924
RHD,arch_0,-0.03767631
TMEM50A,arch_0,-0.019971943
RHCE,arch_0,-0.014351621
MACO1,arch_0,0.03281612
LDLRAP1,arch_0,-0.004588747
AL606491.1,arch_0,-0.021528397
MAN1C1,arch_0,-0.03355619
AL031280.1,arch_0,-0.017630951
SELENON,arch_0,0.012944097
AL020996.1,arch_0,-0.017084371
MTFR1L,arch_0,-0.01758617
AUNIP,arch_0,-0.021193517
AL033528.2,arch_0,-0.022498513
PAQR7,arch_0,-0.0066273403
PAFAH2,arch_0,0.008428284
PDIK1L,arch_0,0.0041694315
ZNF593,arch_0,-0.020088255
CNKSR1,arch_0,-0.026088135
CEP85,arch_0,-0.021399371
SH3BGRL3,arch_0,-0.022397429
UBXN11,arch_0,-0.025655126
CRYBG2,arch_0,-0.020473331
DHDDS,arch_0,0.001629843
AL513365.2,arch_0,-0.0037631814
HMGN2,arch_0,-0.016728735
RPS6KA1,arch_0,-0.016958551
ARID1A,arch_0,0.017494345
PIGV,arch_0,-0.0143225845
ZDHHC18,arch_0,0.0097008
GPN2,arch_0,-0.00763708
AL034380.1,arch_0,-0.02146984
GPATCH3,arch_0,-0.016014481
NUDC,arch_0,-0.010828614
SLC9A1,arch_0,0.03315954
WDTC1,arch_0,-0.003296139
TMEM222,arch_0,-0.007069985
SYTL1,arch_0,-0.017965041
MAP3K6,arch_0,-0.001585338
WASF2,arch_0,-0.011514732
FO393419.2,arch_0,-0.014430557
BX293535.1,arch_0,-0.019464811
AHDC1,arch_0,0.055557035
FGR,arch_0,-0.019693717
IFI6,arch_0,0.03369203
AL445490.1,arch_0,-0.019327445
FAM76A,arch_0,0.0055853426
STX12,arch_0,-0.009234969
AL020997.4,arch_0,-0.01949847
PPP1R8,arch_0,-0.007767951
THEMIS2,arch_0,-0.017906876
RPA2,arch_0,0.0019445908
SMPDL3B,arch_0,-0.017967151
AL512288.1,arch_0,-0.02114698
XKR8,arch_0,-0.0205662
EYA3,arch_0,-0.0025475132
PTAFR,arch_0,-0.017439153
DNAJC8,arch_0,-0.011259812
SESN2,arch_0,-0.024086464
MED18,arch_0,-0.02306798
PHACTR4,arch_0,0.030403413
RCC1,arch_0,-0.022209896
TRNAU1AP,arch_0,-0.0055224793
SNHG12,arch_0,-0.011641841
TAF12,arch_0,-0.011486307
RAB42,arch_0,-0.01606419
LINC01715,arch_0,-0.013309256
AL360012.1,arch_0,-0.020480802
GMEB1,arch_0,0.0040943967
YTHDF2,arch_0,-0.019506922
OPRD1,arch_0,-0.020706994
EPB41,arch_0,-0.028155118
TMEM200B,arch_0,-0.017159203
AL357500.1,arch_0,-0.02380186
SRSF4,arch_0,-0.027615512
MECR,arch_0,-0.011603896
PTPRU,arch_0,-0.02223481
MATN1,arch_0,-0.022695407
MATN1-AS1,arch_0,-0.023018587
SDC3,arch_0,-0.006275202
PUM1,arch_0,-0.017298734
NKAIN1,arch_0,-0.021164093
SNRNP40,arch_0,-0.0062853154
ZCCHC17,arch_0,-0.0023627041
AL451070.1,arch_0,-0.019614521
SERINC2,arch_0,-0.016763646
LINC01226,arch_0,-0.020673381
HCRTR1,arch_0,-0.021377264
PEF1,arch_0,-0.012434744
AC114488.2,arch_0,0.01627916
COL16A1,arch_0,0.15870556
ADGRB2,arch_0,-0.016193397
SPOCD1,arch_0,-0.01791616
AL136115.2,arch_0,-0.018071627
PTP4A2,arch_0,-0.03620676
AL136115.1,arch_0,-0.021237835
AL136115.3,arch_0,-0.018840391
KHDRBS1,arch_0,-0.00089607557
AL445248.1,arch_0,-0.0018884764
TMEM39B,arch_0,0.0007818047
KPNA6,arch_0,-0.011613488
TXLNA,arch_0,-0.006240243
CCDC28B,arch_0,-0.009776648
AL049795.1,arch_0,-0.017455036
IQCC,arch_0,-0.021197174
DCDC2B,arch_0,-0.0035514145
TMEM234,arch_0,0.0014503814
