archetype,TF,t_value,p_value
1,HIF1A,9.36583096040108,5.649855403049721e-18
1,NFKB,8.711938466307787,1.0931181610665072e-15
1,MYC,7.709049740196254,3.0117086438708065e-12
1,CEBPB,7.629427977391095,4.194660373007281e-12
1,SP1,7.430210494264448,1.5368076595281118e-11
1,NFE2L2,7.3976521654237795,1.6362123800691817e-11
1,NR3C1,7.364661283418726,1.7957657210992742e-11
1,PPARD,7.300086789829707,2.5413066085455814e-11
1,NFKB1,6.936917279359757,3.128239998859523e-10
1,TP53,6.754943762952566,1.0010677722972575e-09
1,AR,6.1824854097704565,3.98903926481871e-08
1,STAT5A,6.040756434515577,8.875258018619813e-08
1,JUN,5.978056984322331,1.205259111008619e-07
1,CLOCK,5.895282552531289,1.8522537109710639e-07
1,PPARA,5.613479196114462,9.141403052889626e-07
