archetype,term,coef_logit,OR,p_empirical,alpha_ridge,B_perm,n,q_empirical_BH,reject_q_0p05
0,dist_to_arch_0,-2.6218172448681116,0.07267068233711328,9.999000099990002e-05,0.001,10000,42,9.999000099990002e-05,True
1,dist_to_arch_1,-2.120308672673689,0.1199945837454045,9.999000099990002e-05,0.001,10000,42,9.999000099990002e-05,True
2,dist_to_arch_2,-1.8865658079947216,0.15159151030104148,9.999000099990002e-05,0.001,10000,42,9.999000099990002e-05,True
3,dist_to_arch_3,1.9180962130032484,6.807985170368801,9.999000099990002e-05,0.001,10000,42,9.999000099990002e-05,True
