n_archetypes,n_cells,coreset_fraction,seed,ok,error,rss_poll_ms,time,time_total,time_copy,time_compute,mem_rss_start_mb,mem_rss_post_copy_mb,mem_rss_end_mb,mem_rss_delta_post_copy_mb,mem_rss_delta_since_start_mb,mem_rss_peak_mb,mem_rss_peak_over_post_copy_mb,mem_rss_peak_over_start_mb,mem_rss_peak_copy_sampled_mb,mem_rss_peak_compute_sampled_mb
3,1000,1.0,383329927,True,,50,5.964381217956543,6.105340480804443,0.1400446891784668,5.964381217956543,116805.171875,116804.046875,116805.19921875,1.15234375,0.02734375,116805.9609375,0.0,0.7890625,116805.32421875,116805.19921875
3,1000,1.0,3324115916,True,,50,2.3442676067352295,2.4362425804138184,0.09071969985961914,2.3442676067352295,116805.171875,116804.046875,116805.203125,1.15625,0.03125,116805.9609375,0.0,0.7890625,116805.32421875,116805.15625
3,1000,1.0,2811363264,True,,50,2.5541186332702637,2.6615591049194336,0.10630154609680176,2.5541186332702637,116805.171875,116804.046875,116805.2109375,1.1640625,0.0390625,116805.9609375,0.0,0.7890625,116805.32421875,116805.14453125
3,1000,1.0,1884968544,True,,50,2.331453561782837,2.41794490814209,0.0854332447052002,2.331453561782837,116805.171875,116804.046875,116805.1953125,1.1484375,0.0234375,116805.9609375,0.0,0.7890625,116805.32421875,116805.1953125
3,1000,1.0,1859786275,True,,50,2.42769455909729,2.5185317993164062,0.08976578712463379,2.42769455909729,116805.171875,116804.046875,116805.2109375,1.1640625,0.0390625,116805.9609375,0.0,0.7890625,116805.32421875,116805.2109375
3,1000,0.1,383329927,True,,50,2.1412594318389893,2.232802629470825,0.09056997299194336,2.1412594318389893,116805.171875,116804.05078125,116805.21484375,1.1640625,0.04296875,116805.96484375,0.0,0.79296875,116805.32421875,116805.15234375
3,1000,0.1,3324115916,True,,50,2.3355748653411865,2.433657169342041,0.09718441963195801,2.3355748653411865,116805.171875,116804.05078125,116805.21484375,1.1640625,0.04296875,116805.96484375,0.0,0.79296875,116805.328125,116805.15625
3,1000,0.1,2811363264,True,,50,2.4118857383728027,2.504786252975464,0.09202194213867188,2.4118857383728027,116805.17578125,116804.05078125,116805.21484375,1.1640625,0.0390625,116805.96484375,0.0,0.7890625,116805.328125,116805.11328125
3,1000,0.1,1884968544,True,,50,2.118929624557495,2.2151718139648438,0.09542989730834961,2.118929624557495,116805.17578125,116804.05078125,116805.2265625,1.17578125,0.05078125,116805.96484375,0.0,0.7890625,116805.328125,116805.11328125
3,1000,0.1,1859786275,True,,50,2.1774652004241943,2.283653736114502,0.10491514205932617,2.1774652004241943,116805.1796875,116804.0546875,116805.20703125,1.15234375,0.02734375,116805.96875,0.0,0.7890625,116805.71484375,116805.140625
3,2000,1.0,383329927,True,,50,3.217707395553589,3.4557690620422363,0.2370762825012207,3.217707395553589,116805.19140625,116804.0703125,116805.4609375,1.390625,0.26953125,116805.984375,0.0,0.79296875,116805.34375,116805.359375
3,2000,1.0,3324115916,True,,50,2.6822311878204346,2.863007068634033,0.17933106422424316,2.6822311878204346,116805.19140625,116804.0703125,116805.359375,1.2890625,0.16796875,116805.984375,0.0,0.79296875,116805.34375,116805.26171875
3,2000,1.0,2811363264,True,,50,2.4144773483276367,2.5735738277435303,0.15804004669189453,2.4144773483276367,116805.19140625,116804.0703125,116805.36328125,1.29296875,0.171875,116805.984375,0.0,0.79296875,116805.66796875,116805.26171875
